TIME,Shooter Actual RPM,Right Intern Moter Current,Drivetrain Left Wheel Actual Speed,Battery Voltage,Distance Sensor Raw Voltage,Hopper Spark Left Current,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Shooter Desired RPM,Drivetrain Left Wheel Desired Speed,Rotate to Color,Color Needed,Shooter State Command,Raspberry Pi Duration,Right Climber Current,Pneumatics Compressor Current,Hopper Spark Left Cmd,Raspberry Pi Angle,Raspberry Pi Stable Target,Hopper Spark Right Cmd,Main Loop Process Duration,Left Climber Current,botDesPoseY,roboRIO CPU Load,botDesPoseX,Distance Sensor Available,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Climber Command,Left Master Moter Current,Pneumatics Cutoff Switch State,Drivetrain Right Motor Output Duty Cycle,Raspberry Pi Framerate,Color Sensor Match Color,Color Sensor Red Intensity,Panel 3.25 spin,Hopper Spark Right Current,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,DT_Pose_Angle,Intake Speed State,Main Loop Call Period,Shooter Motor 1 Current,Shooter Motor 2 Current,Color Sensor Green Intensity,roboRIO Sys Memory Load,Robot CAN Bus Utilization,Right Master Moter Current,Distance Sensor Distance,Photon Cannon State,Robot Brownout,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,botActPoseT,Raspberry Pi Visible Target,botActPoseX,botActPoseY,Intake Position State,Battery Current Draw,Drivetrain Left Motor output Duty Cycle,Shooter Control Mode,Climber Upper Limit Switch,
sec,RPM,Amps,RPM,V,V,Amp,Pct,boolean,intensity,RPM,RPM,degrees,Color,state,sec,Amp,A,Cmd,deg,boolean,Cmd,sec,Amp,ft,Pct,ft,bool,deg,Amps,A,psi,RPM,CMD,Amps,bool,pct,fps,color,intensity,degrees,Amp,count,RPM,deg,state,sec,A,A,intensity,Pct,pct,Amps,in,bool,bool,count,boolean,RPM,deg,boolean,ft,ft,state,A,pct,state,boolean,
8.455895,,,,,,,,,,,,,,,,,,,,,,0.056264000000000536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.605958,,,,,,,,,,,,,,,,,7.0625,,,,,,,,,,,,,,132.769759875,,,,0.0,,,,,,,,,,,0.1500629999999994,,,,,,,,,,,,,,,,,,,,,,
8.607397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
8.605958,,85.375,-4.686731003289424E-10,11.55,,0.0,,1.0,0.0,,0.0,0.0,-1.0,,0.14592289924621582,0.0,,0.0,-1.0,0.0,0.0,0.07907000000000153,0.0,,,,,,85.375,,,0.0,0.0,85.375,,-0.3009124994277954,7.526574382790265,-1.0,0.0,0.0,0.0,42.0,0.0,0.0,,,,,0.0,,0.11098657548427582,85.375,,,0.0,0.0,,-4.686731003289424E-10,,0.0,,,,0.0,-0.3009124994277954,,1.0,
8.689815,,,,,,,,,,,,,,,,,6.75,,,,,,,,,,,,,,132.769759875,,,,0.0,,,,,,,,,,,0.08385700000000007,,,,,,,,,,,,,,,,,,,,,,
8.690785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
8.689815,,85.375,-4.686731003289424E-10,11.55,,0.0,,1.0,0.0,,0.0,0.0,-1.0,,0.1700267791748047,0.0,,0.0,-1.0,0.0,0.0,0.07232400000000005,0.0,,,,,,85.375,,,0.0,0.0,85.375,,-0.3009124994277954,6.6553435647460555,-1.0,0.0,0.0,0.0,15.0,0.0,0.0,,,,,0.0,,0.1156606525182724,85.375,,,0.0,0.0,,-4.686731003289424E-10,,0.0,,,,0.0,-0.3009124994277954,,1.0,
8.773001,,,,,,,,,,,,,,,,,6.8125,,,,,,,,,,,,,,132.769759875,,,,0.0,,,,,,,,,,,0.08318600000000131,,,,,,,,,,,,,,,,,,,,,,
8.774821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
