TIME,Shooter Actual RPM,Right Intern Moter Current,Drivetrain Left Wheel Actual Speed,Is there a Ball at the Shooter End Conveyor,Battery Voltage,Distance Sensor Raw Voltage,Hopper Spark Left Current,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Shooter Desired RPM,Driver FwdRev Command,Drivetrain Left Wheel Desired Speed,Rotate to Color,Color Needed,Shooter State Command,Raspberry Pi Duration,Right Climber Current,Pneumatics Compressor Current,Hopper Spark Left Cmd,Speed Command for the Conveyor Motor,Raspberry Pi Angle,Climber Input Command,Raspberry Pi Stable Target,Hopper Spark Right Cmd,Driver Snail Mode Command,Main Loop Process Duration,Left Climber Current,botDesPoseY,roboRIO CPU Load,botDesPoseX,Distance Sensor Available,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Left Master Moter Current,Pneumatics Cutoff Switch State,Drivetrain Right Motor Output Duty Cycle,Raspberry Pi Framerate,Color Sensor Match Color,Conveyor Motor Current,Color Sensor Red Intensity,Panel 3.25 spin,Hopper Spark Right Current,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,Driver Auto Align Command,DT_Pose_Angle,Intake Speed State,Main Loop Call Period,Shooter Motor 1 Current,Shooter Motor 2 Current,Color Sensor Green Intensity,roboRIO Sys Memory Load,Robot CAN Bus Utilization,Right Master Moter Current,Distance Sensor Distance,Climber Motor Command,Photon Cannon State,Robot Brownout,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,botActPoseT,Is there a ball at the Intake End of the Conveyor,Raspberry Pi Visible Target,botActPoseX,botActPoseY,Intake Position State,Battery Current Draw,Drivetrain Left Motor output Duty Cycle,Shooter Control Mode,Driver Rotate Command,Climber Upper Limit Switch,
sec,RPM,Amps,RPM,Boolean,V,V,Amp,Pct,boolean,intensity,RPM,cmd,RPM,degrees,Color,state,sec,Amp,A,Cmd,%,deg,cmd,boolean,Cmd,bool,sec,Amp,ft,Pct,ft,bool,deg,Amps,A,psi,RPM,Amps,bool,pct,fps,color,Amps,intensity,degrees,Amp,count,RPM,bool,deg,state,sec,A,A,intensity,Pct,pct,Amps,in,cmd,bool,bool,count,boolean,RPM,deg,Boolean,boolean,ft,ft,state,A,pct,state,cmd,boolean,
561.446887,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034932000000026164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561.493029,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-9.182740237500001,,,0.0,,,,,,,,,,,,,0.04614200000003166,,,,,,,,,,,,,,,,,,,,,,,,,
561.493154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
561.493029,,0.0,-0.0,,12.35,,,,-1.0,0.17919921875,,,0.0,0.0,-1.0,,0.050718069076538086,,,,,4.963788987707994,0.0,1.0,,,0.010290000000054533,0.0,,,,,,0.0,,,-0.0,0.0,,0.0,6.54685878134858,-1.0,,0.34912109375,0.0,,38.0,0.0,,18.957345571005085,,,,,0.4716796875,,0.390590101480484,0.0,,0.0,,0.0,32.0,,0.0,,,1.0,,,,0.0,0.0,,,-1.0,
561.513236,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-9.091187512499998,,,0.0,,,,,,,,,,,,,0.02020700000002762,,,,,,,,,,,,,,,,,,,,,,,,,
561.513571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
561.513236,,0.0,-0.0,,12.35,,,,-1.0,0.17919921875,,,0.0,0.0,-1.0,,0.050718069076538086,,,,,4.963788987707994,0.0,1.0,,,0.005962999999951535,0.0,,,,,,0.0,,,-0.0,0.0,,0.0,6.54685878134858,-1.0,,0.34912109375,0.0,,79.0,0.0,,18.958480149796294,,,,,0.4716796875,,0.3399254381656647,0.0,,0.0,,0.0,36.0,,0.0,,,1.0,,,,0.0,0.0,,,-1.0,
561.5226,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-9.182740237500001,,,0.0,,,,,,,,,,,,,0.009364000000005035,,,,,,,,,,,,,,,,,,,,,,,,,
561.523052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
561.5226,,0.0,-0.0,,12.35,,,,-1.0,0.17919921875,,,0.0,0.0,-1.0,,0.050718069076538086,,,,,4.963788987707994,0.0,1.0,,,0.006305999999995038,0.0,,,,,,0.0,,,-0.0,0.0,,0.0,6.54685878134858,-1.0,,0.34912109375,0.0,,120.0,0.0,,18.958253133019735,,,,,0.4716796875,,0.4791796803474426,0.0,,0.0,,0.0,40.0,,0.0,,,1.0,,,,0.0,0.0,,,-1.0,
561.531173,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-9.182740237500001,,,0.0,,,,,,,,,,,,,0.008572999999955755,,,,,,,,,,,,,,,,,,,,,,,,,
561.531857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
561.531173,,0.0,-0.0,,12.35,,,,-1.0,0.17919921875,,,0.0,0.0,-1.0,,0.050718069076538086,,,,,4.963788987707994,0.0,1.0,,,0.006664999999998145,0.0,,,,,,0.0,,,-0.0,0.0,,0.0,6.54685878134858,-1.0,,0.34912109375,0.0,,161.0,0.0,,18.958472590492264,,,,,0.4716796875,,0.2928948402404785,0.0,,0.0,,0.0,44.0,,0.0,,,1.0,,,,0.0,0.0,,,-1.0,
561.541706,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-9.182740237500001,,,0.0,,,,,,,,,,,,,0.010533000000009451,,,,,,,,,,,,,,,,,,,,,,,,,
561.542411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
561.541706,,0.0,-0.0,,12.35,,,,-1.0,0.17919921875,,,0.0,0.0,-1.0,,0.050718069076538086,,,,,4.963788987707994,0.0,1.0,,,0.008711000000062086,0.0,,,,,,0.0,,,-0.0,0.0,,0.0,6.54685878134858,-1.0,,0.34912109375,0.0,,202.0,0.0,,18.95780578862413,,,,,0.4716796875,,0.41496381163597107,0.0,,0.0,,0.0,36.0,,0.0,,,1.0,,,,0.0,0.0,,,-1.0,
561.554559,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-9.274292962499999,,,0.0,,,,,,,,,,,,,0.01285300000006373,,,,,,,,,,,,,,,,,,,,,,,,,
561.554971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
561.554559,,0.0,-0.0,,12.35,,,,-1.0,0.17919921875,,,0.0,0.0,-1.0,,0.050718069076538086,,,,,4.963788987707994,0.0,1.0,,,0.00857399999995323,0.0,,,,,,0.0,,,-0.0,0.0,,0.0,6.54685878134858,-1.0,,0.34912109375,0.0,,243.0,0.0,,18.959654934411667,,,,,0.4716796875,,0.37446942925453186,0.0,,0.0,,0.0,40.0,,0.0,,,1.0,,,,0.0,0.0,,,-1.0,
561.565999,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-9.182740237500001,,,0.0,,,,,,,,,,,,,0.011439999999993233,,,,,,,,,,,,,,,,,,,,,,,,,
561.566299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
561.565999,,0.0,-0.0,,12.35,,,,-1.0,0.17919921875,,,9.94718394324346,0.0,-1.0,,0.050718069076538086,,,,,4.963788987707994,0.0,1.0,,,0.005564999999933207,0.0,,,,,,0.0,,,-0.0,0.0,,0.0,6.54685878134858,-1.0,,0.34912109375,0.0,,284.0,9.94718394324346,,18.959623572543535,,,,,0.4716796875,,0.3476868271827698,0.0,,0.0,,0.0,44.0,,0.0,,,1.0,,,,0.0,0.0,,,-1.0,
561.573683,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-9.182740237500001,,,0.0,,,,,,,,,,,,,0.007683999999926527,,,,,,,,,,,,,,,,,,,,,,,,,
561.574161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
561.573683,,0.0,-0.0,,12.4,,,,-1.0,0.18310546875,,,9.94718394324346,0.0,-1.0,,0.050718069076538086,,,,,4.963788987707994,0.0,1.0,,,0.007628000000067914,0.0,,,,,,0.0,,,-0.0,0.0,,0.0,6.54685878134858,-1.0,,0.347412109375,0.0,,325.0,9.94718394324346,,18.95935441510764,,,,,0.469482421875,,0.3689357340335846,0.0,,0.0,,0.0,48.0,,0.0,,,1.0,,,,0.0,0.0,,,-1.0,
561.610067,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-9.182740237500001,,,0.0,,,,,,,,,,,,,0.036383999999998196,,,,,,,,,,,,,,,,,,,,,,,,,
561.61136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
561.610067,,0.0,0.5714285969734192,,12.25,,,,-1.0,0.18310546875,,,15.517606951459804,0.0,-1.0,,0.052343130111694336,,,,,4.965801590823105,0.0,1.0,,,0.006709000000000742,0.0,,,,,,0.0,,,-0.0,0.0,,0.04602191224694252,6.540906553220157,-1.0,,0.347412109375,0.0,,14.0,15.517606951459804,,18.961140502250483,,,,,0.469482421875,,0.342159628868103,0.0,,0.0,,0.0,52.0,,0.5714285969734192,,,1.0,,,,0.0,0.04602191224694252,,,-1.0,
561.618908,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-9.182740237500001,,,0.0,,,,,,,,,,,,,0.008841000000074928,,,,,,,,,,,,,,,,,,,,,,,,,
561.619073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
561.618908,,0.0,0.5714285969734192,,12.3,,,,-1.0,0.18310546875,,,15.517606951459804,0.0,-1.0,,0.052343130111694336,,,,,4.965801590823105,0.0,1.0,,,0.008588999999915359,0.0,,,,,,0.0,,,-0.0,0.0,,0.04602191224694252,6.540906553220157,-1.0,,0.347412109375,0.0,,55.0,15.517606951459804,,18.9623793505655,,,,,0.469482421875,,0.4560634195804596,0.0,,0.0,,0.0,56.0,,0.5714285969734192,,,1.0,,,,0.0,0.04602191224694252,,,-1.0,
561.629882,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-9.182740237500001,,,0.0,,,,,,,,,,,,,0.010973999999919215,,,,,,,,,,,,,,,,,,,,,,,,,
561.630041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
561.629882,,0.0,3.4285717010498047,,12.3,,,,-1.0,0.18310546875,,,17.90493109783823,0.0,-1.0,,0.052343130111694336,,,,,4.965801590823105,0.0,1.0,,,0.005506000000082167,0.0,,,,,,0.0,,,-0.0,0.0,,0.06418042629957199,6.540906553220157,-1.0,,0.347412109375,0.0,,96.0,17.90493109783823,,18.96127285378894,,,,,0.469482421875,,0.33471593260765076,0.0,,0.0,,0.0,60.0,,0.5714285969734192,,,1.0,,,,0.0,0.06418042629957199,,,-1.0,
561.638239,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-9.182740237500001,,,0.0,,,,,,,,,,,,,0.008357000000046355,,,,,,,,,,,,,,,,,,,,,,,,,
561.638448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
561.638239,,0.0,3.4285717010498047,,12.3,,,,-1.0,0.18310546875,,,17.90493109783823,0.0,-1.0,,0.052343130111694336,,,,,4.965801590823105,0.0,1.0,,,0.006406999999967411,0.0,,,,,,0.0,,,-0.0,0.0,,0.06418042629957199,6.540906553220157,-1.0,,0.347412109375,0.0,,137.0,17.90493109783823,,18.960710536353044,,,,,0.469482421875,,0.3339453637599945,0.0,,0.0,,0.0,64.0,,3.4285717010498047,,,1.0,,,,0.0,0.06418042629957199,,,-1.0,
561.647176,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-9.182740237500001,,,0.0,,,,,,,,,,,,,0.008936999999946238,,,,,,,,,,,,,,,,,,,,,,,,,
561.647431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
561.647176,,0.03125,3.4285717010498047,,12.25,,,,-1.0,0.18310546875,,,20.292255244216665,0.0,-1.0,,0.052343130111694336,,,,,4.965801590823105,0.0,1.0,,,0.009174000000029991,0.0,,,,,,0.0,,,-0.0,15.375,,0.07565538585186005,6.540906553220157,-1.0,,0.347412109375,0.0,,178.0,20.292255244216665,,18.96070967638967,,,,,0.469482421875,,0.3812943398952484,0.0,,0.0,,0.0,52.0,,3.4285717010498047,,,1.0,,,,0.0,0.06537064909934998,,,-1.0,
561.657505,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-9.182740237500001,,,0.0,,,,,,,,,,,,,0.010329000000069755,,,,,,,,,,,,,,,,,,,,,,,,,
561.657606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
