TIME,Shooter Actual RPM,Right Intern Moter Current,Drivetrain Left Wheel Actual Speed,Battery Voltage,Distance Sensor Raw Voltage,Hopper Spark Left Current,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Shooter Desired RPM,Driver FwdRev Command,Drivetrain Left Wheel Desired Speed,Rotate to Color,Color Needed,Shooter State Command,Raspberry Pi Duration,Right Climber Current,Pneumatics Compressor Current,Hopper Spark Left Cmd,Raspberry Pi Angle,Climber Input Command,Raspberry Pi Stable Target,Hopper Spark Right Cmd,Driver Snail Mode Command,Main Loop Process Duration,Left Climber Current,botDesPoseY,roboRIO CPU Load,botDesPoseX,Distance Sensor Available,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Left Master Moter Current,Pneumatics Cutoff Switch State,Drivetrain Right Motor Output Duty Cycle,Raspberry Pi Framerate,Color Sensor Match Color,Color Sensor Red Intensity,Panel 3.25 spin,Hopper Spark Right Current,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,Driver Auto Align Command,DT_Pose_Angle,Intake Speed State,Main Loop Call Period,Shooter Motor 1 Current,Shooter Motor 2 Current,Color Sensor Green Intensity,roboRIO Sys Memory Load,Robot CAN Bus Utilization,Right Master Moter Current,Distance Sensor Distance,Climber Motor Command,Photon Cannon State,Robot Brownout,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,botActPoseT,Drivetrain Desired Heading,Raspberry Pi Visible Target,botActPoseX,botActPoseY,Intake Position State,Battery Current Draw,Drivetrain Left Motor output Duty Cycle,Shooter Control Mode,Driver Rotate Command,Climber Upper Limit Switch,
sec,RPM,Amps,RPM,V,V,Amp,Pct,boolean,intensity,RPM,cmd,RPM,degrees,Color,state,sec,Amp,A,Cmd,deg,cmd,boolean,Cmd,bool,sec,Amp,ft,Pct,ft,bool,deg,Amps,A,psi,RPM,Amps,bool,pct,fps,color,intensity,degrees,Amp,count,RPM,bool,deg,state,sec,A,A,intensity,Pct,pct,Amps,in,cmd,bool,bool,count,boolean,RPM,deg,deg,boolean,ft,ft,state,A,pct,state,cmd,boolean,
76.038483,,,,,,,,,,,,,,,,,,,,,,,,,0.006050000000001887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76.095668,,,,,,,,,,,-0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.05718500000000404,,,,,,,,,,,,,,,,,,,,,,,0.0,,
76.10580100000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
76.095668,,0.0,-0.0,12.6,,,,1.0,0.176025390625,,,0.0,0.0,-1.0,,0.05052065849304199,,0.0,,-9.8415043134947,0.0,1.0,,,0.048828000000000316,0.0,,,,,,0.0,,-9.182740237500001,0.0,0.0,0.0,0.0,6.8889859766573265,-1.0,0.351806640625,0.0,,43.0,0.0,,0.2505583945299215,,,,,0.47216796875,,0.3143209218978882,0.0,,0.0,,0.0,93.0,,0.0,,0.0,1.0,,,,0.0,0.0,,,1.0,
76.156448,,,,,,,,,,,-0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.06077999999999406,,,,,,,,,,,,,,,,,,,,,,,0.0,,
76.156728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
76.156448,,0.0,-0.0,12.6,,,,1.0,0.18359375,,,0.0,0.0,-1.0,,0.05052065849304199,,0.0,,-9.8415043134947,0.0,1.0,,,0.03164999999999907,0.0,,,,,,0.0,,-9.182740237500001,0.0,0.0,0.0,0.0,6.8889859766573265,-1.0,0.3486328125,0.0,,89.0,0.0,,0.24990762131868835,,,,,0.4677734375,,0.34828633069992065,0.0,,0.0,,0.0,93.0,,0.0,,0.0,1.0,,,,0.0,0.0,,,1.0,
76.189084,,,,,,,,,,,-0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.03263599999999656,,,,,,,,,,,,,,,,,,,,,,,0.0,,
76.189367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
76.189084,,0.0,-0.0,12.6,,,,-1.0,0.18359375,,,0.0,0.0,-1.0,,0.05052065849304199,,0.0,,-9.8415043134947,0.0,1.0,,,0.01060500000001241,0.0,,,,,,0.0,,-9.182740237500001,0.0,0.0,0.0,0.0,6.8889859766573265,-1.0,0.3486328125,0.0,,133.0,0.0,,0.2482324102319973,,,,,0.4677734375,,0.15589912235736847,0.0,,0.0,,0.0,93.0,,0.0,,0.0,1.0,,,,0.0,0.0,,,-1.0,
76.200957,,,,,,,,,,,-0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.01187300000000846,,,,,,,,,,,,,,,,,,,,,,,0.0,,
76.20123099999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
76.200957,,0.0,-0.0,12.6,,,,-1.0,0.18359375,,,0.0,0.0,-1.0,,0.050917625427246094,,0.0,,-9.839589027995606,0.0,1.0,,,0.008848000000000411,0.0,,,,,,0.0,,-9.182740237500001,0.0,0.0,0.0,0.0,6.571044068550731,-1.0,0.3486328125,0.0,,173.0,0.0,,0.24819387037851748,,,,,0.4677734375,,0.5956165194511414,0.0,,0.0,,0.0,93.0,,0.0,,0.0,1.0,,,,0.0,0.0,,,-1.0,
76.210772,,,,,,,,,,,-0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.009815000000003238,,,,,,,,,,,,,,,,,,,,,,,0.0,,
76.211106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
