TIME,Operator Controller Unjam Command,Ball Counter Ball Count,IMU Filtered X Angle,Shooter Motor 2 Speed,Shooter Desired Speed,Right Intern Moter Current,Distance Sensor Raw Voltage,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Hopper Motor Left Cmd,Shooter Motor 1 Speed,Shooter State Command,Hopper Motor Right Current,Pneumatics Compressor Current,Climber Input Command,Operator Controller Shoot Command,Climber Motor 2 Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Left Master Moter Current,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Conveyor Motor Speed Command,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Control Panel State Machine 3.25 spin,Hopper Motor Right Cmd,Conveyor Intake End Ball Present,Intake Speed State,Operator Controller Ctrl Panel Three Rotations Command,Main Loop Call Period,IMU Comp X Angle,Shooter Motor 1 Current,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,Operator Controller Photon Cannon Command,Ball Counter Sensor Distance,Photon Cannon State,Robot Brownout,botActPoseT,botActPoseX,botActPoseY,Climber Motor 1 Current,Battery Current Draw,Drivetrain Left Motor output Duty Cycle,Driver Rotate Command,Climber Upper Limit Switch,Drivetrain Pose Angle,Drivetrain Left Wheel Actual Speed,Battery Voltage,Operator Controller Prep to Shoot Command,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,Ball Counter Ball Height State,Operator Controller Ctrl Panel Seek To Color Command,Driver Snail Mode Command,Shooter Actual Speed,Main Loop Process Duration,roboRIO CPU Load,Distance Sensor Available,Vision Raspberry Pi Framerate,Pneumatics Cutoff Switch State,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,Color Sensor Match Color,Conveyor Motor Current,Color Sensor Red Intensity,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,Driver Auto Align Command,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,Shooter Motor 2 Current,Color Sensor Green Intensity,Vision Raspberry Pi Vision System Online,Robot CAN Bus Utilization,Right Master Moter Current,Distance Sensor Distance,Climber Motor Command,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,Conveyor Shooter End Ball Present,Drivetrain Desired Heading,Intake Position State,Hopper Motor Left Current,Shooter Control Mode,
sec,bool,count,deg,RPM,RPM,A,V,cmd,color,cmd,deg,cmd,RPM,state,A,A,cmd,bool,A,ft,ft,mode,deg,A,A,psi,RPM,A,pct,sec,pct,bool,bool,degrees,cmd,bool,state,bool,sec,deg,A,degrees,pct,bool,in,bool,bool,deg,ft,ft,A,A,pct,cmd,state,deg,RPM,V,bool,pct,state,sat,RPM,bool,heightState,bool,bool,RPM,sec,pct,bool,fps,bool,deg,bool,color,A,sat,count,RPM,bool,deg,bool,A,sat,bool,pct,A,in,cmd,count,bool,RPM,bool,deg,state,A,state,
63.018776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0974029999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.154009,,0.0,0.0,,,91.1875,,,-1.0,,0.0,0.25,,,90.0625,0.5,0.0,,0.0,,,0.0,,91.1875,,132.586654425,0.0,91.1875,1.2207403779029846E-4,-1.0,0.0,0.0,,0.0,0.25,0.0,,,0.1352329999999995,0.0,,0.0,,,0.0,0.0,,,,,0.0,,1.5259254723787308E-4,,-1.0,0.0,-3.3570549931027927E-6,,,,-1.0,0.0,0.0,,0.0,,,,,,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,,0.0,,-1.0,,,0.0,0.0,,91.1875,0.0,0.0,,,-3.3570549931027927E-6,1.0,0.0,,90.0625,,
0.063154009,,,,,,,,,,,,,,,,,,,,,,,,,90.0625,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
63.154009,,,,-3.357041350682266E-6,0.0,,,,,,,,-3.357041350682266E-6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,11.75,,,,,,,,,,-3.357041350682266E-6,0.10447500000000076,,,,,,,,,,41.0,,,,,0.0,,,0.13872772455215454,,,,0.0,0.0,,,,,,2.0,
63.260315,,0.0,0.0,,,91.1875,,,-1.0,,0.0,0.25,,,90.0625,0.5,0.0,,0.0,,,0.0,,91.1875,,132.586654425,0.0,91.1875,1.2207403779029846E-4,-1.0,0.0,0.0,,0.0,0.25,0.0,,,0.10630599999999646,0.0,,0.0,,,0.0,0.0,,,,,0.0,,1.5259254723787308E-4,,-1.0,0.0,-3.3570549931027927E-6,,,,-1.0,0.0,0.0,,0.0,,,,,,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,,0.0,,-1.0,,,0.0,0.0,,91.1875,0.0,0.0,,,-3.3570549931027927E-6,1.0,0.0,,90.0625,,
0.063260315,,,,,,,,,,,,,,,,,,,,,,,,,90.0625,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
63.260315,,,,-3.357041350682266E-6,0.0,,,,,,,,-3.357041350682266E-6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,11.75,,,,,,,,,,-3.357041350682266E-6,0.10137699999999938,,,,,,,,,,41.0,,,,,0.0,,,0.12836836278438568,,,,0.0,0.0,,,,,,2.0,
63.363303,,0.0,0.0,,,91.1875,,,-1.0,,0.0,0.25,,,90.0625,0.5,0.0,,0.0,,,0.0,,91.1875,,132.586654425,0.0,91.1875,1.2207403779029846E-4,-1.0,0.0,0.0,,0.0,0.25,0.0,,,0.10298800000000341,0.0,,0.0,,,0.0,0.0,,,,,0.0,,1.5259254723787308E-4,,-1.0,0.0,-3.3570549931027927E-6,,,,-1.0,0.0,0.0,,0.0,,,,,,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,,0.0,,-1.0,,,0.0,0.0,,91.1875,0.0,0.0,,,-3.3570549931027927E-6,1.0,0.0,,90.0625,,
0.063363303,,,,,,,,,,,,,,,,,,,,,,,,,90.0625,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
