TIME,Operator Controller Unjam Command,shooterCtrl.shooterSpeedErrorAbs,climber.motorCmd,IMU Filtered X Angle,hopper.conv.opMode,Right Intern Moter Current,climber.upperLimitSwitch.stateDbnc,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Driver Trench To Loading Align Only Command,Pneumatics Compressor Current,Operator Controller Shoot Command,intakeCtrl.posState,shooterCtrl.underLoad,climber.motor2Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Pneumatics Main System Pressure,hopper.conv.intakeEndSensor.ballsInConveyor,Drivetrain Heading Correction Command,Driver Loading To Trench Command,Left Master Moter Current,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Control Panel State Machine 3.25 spin,Operator Controller Ctrl Panel Three Rotations Command,hopper.conv.shooterEndSensorTriggeredDbnc,IMU Comp X Angle,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,hopper.conv.conveyorPosition,hopper.conv.intakeEndSensor.curBallHeight,Robot Brownout,botActPoseT,intakeCtrl.intkCommand,hopper.conv.motorCurrent,botActPoseX,botActPoseY,climber.motor1Current,hopper.hopperOpMode,Driver Auto Align and Shoot Command,Drivetrain Left Motor output Duty Cycle,Driver Rotate Command,Driver Turn 180 Deg Command,Drivetrain Pose Angle,loopTiming.loopPeriodSec,Robot Battery Voltage,shooterCtrl.shooterHoldCmdVoltage,intakeCtrl.spdState,Drivetrain Left Wheel Actual Speed,Operator Controller Prep to Shoot Command,Robot Battery Current Draw,shooterCtrl.currentStateShooter,roboRIO JVM Memory Load,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,shooterCtrl.shooterActualSpeed_rpm,Operator Controller Ctrl Panel Seek To Color Command,Driver Snail Mode Command,RIO Input Voltage,roboRIO CPU Load,Match Time,Vision Raspberry Pi Framerate,RIO 3V Supply Voltage,Pneumatics Cutoff Switch State,Operator Controller Shot Speed Increment,Driver Auto Align Close and Shoot Command,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,hopper.conv.intakeEndSensorTriggered,hopper.HopperSparkLeftCmd,climber.climbEnabled,Drivetrain Right Wheel Desired Speed,Dataserver File Logger Queue Length,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,shooterCtrl.adjustedSetpointRPM,Operator Controller Shot Speed Decrement,Vision Raspberry Pi Vision System Online,climber.climbCMD,hopper.HopperSparkRightCmd,Right Master Moter Current,Robot CAN Bus Utilization,hopper.conv.intakeEndSensor.curConveyorDirection,PDP Cooling Fans Current,RIO 6V Supply Voltage,Drivetrain Right Wheel Actual Speed,Dataserver Stored Samples,PDP Upper Board Current,Drivetrain Desired Heading,Driver Auto Align Only Command,RIO 5V Supply Voltage,climber.lowerLimitSwitch.stateDbnc,hopper.conv.intakeEndSensor.ballHeightIn,Driver Flip Front/Back Command,loopTiming.loopDurationSec,
sec,bool,,,deg,,A,,cmd,color,cmd,deg,bool,A,bool,,,,ft,ft,mode,deg,A,psi,,RPM,bool,A,pct,sec,bool,bool,degrees,bool,,deg,degrees,pct,,,bool,deg,,,ft,ft,,,bool,pct,cmd,bool,deg,,V,,,RPM,bool,A,,pct,RPM,bool,,bool,bool,V,pct,s,fps,V,bool,bool,bool,deg,bool,,,bool,RPM,count,deg,bool,,bool,bool,cmd,,A,pct,,A,V,RPM,count,A,deg,bool,V,,,bool,,
349.233308,,,,,,,,,,,,,0.0,,,,,,,,,,109.55476250000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349.357001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,12.75,,,,,7.375,,,,,,,,12.542223876953125,,15.0,,,,,,,,,,,,8.0,,,,,,,,,0.3704751431941986,,0.0,,,0.0,0.0,,,,,,,,
349.376524,,,,358.5596628715841,,0.0,,,,,2.7821407421237163,,,,,,,,,0.0,,0.0,,,0.0,,0.0,0.0,0.04915308952331543,0.0,,,,,-1.6917912452187212,,,,,,,,,,,,,,0.0,,,168.65459157898908,,,,,-0.0,,,,,0.0,,,,,,,,6.4031265266243285,,,,,-0.09214831825064394,0.0,,,,0.0,,0.0,,,,1.0,,,0.0,,,,,0.0,,,0.0,,,,,,,
349.403993,,0.0,0.0,,1.0,,0.0,,,,,,,,0.0,1.0,0.0,,,,,,,1.0,,,,,,,,,,0.0,,,,-4.539817526011819E7,2.0,,,0.0,0.0,,,0.0,1.0,,,,,,0.14321599999999535,,0.0,0.0,,,,0.0,,,,-0.0,,,,,,,,,,,,,1.0,0.25,0.0,,,,,3200.0,,,0.0,0.25,,,1.0,,,,,,,,,0.0,3.543307086614174,,0.0023569999999608626,
349.413166,,,,356.5328414237767,,0.1875,,,,,2.7442079841024922,,,,,,,,,0.0,,0.0,,,0.0,,0.0,0.012421033345162868,0.04915308952331543,0.0,,,,,-1.6904221748768753,,,,,,,,,,,,,,0.0015259254723787308,,,168.66474068394632,,,,,-0.0,,,,,0.0,,,,,,,,6.4031265266243285,,,,,-0.08382002647929455,0.0,,,,0.0,,0.0,,,,1.0,,,0.0625,,,,,0.0,,,0.0,,,,,,,
349.422321,,0.0,0.0,,1.0,,0.0,,,,,,,,0.0,1.0,0.0,,,,,,,1.0,,,,,,,,,,0.0,,,,-5.1883628868706495E7,2.0,,,0.0,0.0,,,0.0,1.0,,,,,,0.036641999999972086,,0.0,0.0,,,,0.0,,,,-0.0,,,,,,,,,,,,,1.0,0.25,0.0,,,,,3200.0,,,0.0,0.25,,,1.0,,,,,,,,,0.0,3.622047244094489,,0.027995999999973264,
349.424937,,,,358.22069956869785,,0.1875,,,,,357.77567326775505,,,,,,,,,0.0,,0.0,,,0.0,,0.21875,0.05688650161027908,0.04915308952331543,0.0,,,,,-1.6898038143684704,,,,,,,,,,,,,,0.04599139466881752,,,168.66869235276192,,,,,-0.0,,,,,0.0,,,,,,,,6.4031265266243285,,,,,-0.0912132836023452,0.0,,,,0.0,,0.0,,,,1.0,,,0.0625,,,,,0.0,,,0.0,,,,,,,
349.438511,,0.0,0.0,,1.0,,0.0,,,,,,,,0.0,1.0,0.0,,,,,,,1.0,,,,,,,,,,0.0,,,,-5.682492685620235E7,2.0,,,0.0,0.0,,,0.0,1.0,,,,,,0.01177100000001019,,0.0,0.0,,,,0.0,,,,-0.0,,,,,,,,,,,,,1.0,0.25,0.0,,,,,3200.0,,,0.0,0.25,,,1.0,,,,,,,,,0.0,3.622047244094489,,0.01096100000000888,
349.451318,,,,340.6067990095175,,17.21875,,,,,354.5950944979787,,,,,,,,,0.0,,1.1875,,,0.0,,22.5625,0.07400738447904587,0.04915308952331543,0.0,,,,,-1.7997748039876331,,74.9,,,,,,,,,,,,0.07562486827373505,,,168.6848964318828,,,,,1.1428571939468384,,,,78.65591237007659,0.0,,,,,,70.4,,6.4031265266243285,,,,,-0.10187570251837179,0.0,,,,0.0,,0.0,,,,1.0,,,20.9375,,,,,0.5714285969734192,,,0.0,,,,,,,
349.472422,,0.0,0.0,,1.0,,0.0,,,,,,,,0.0,1.0,0.0,,,,,,,1.0,,,,,,,,,,0.0,,,,-6.825167845228651E7,2.0,,,0.0,0.0,,,0.0,1.0,,,,,,0.026381000000014865,,0.0,0.0,,,,0.0,,,,-0.0,,,,,,,,,,,,,1.0,0.25,0.0,,,,,3200.0,,,0.0,0.25,,,1.0,,,,,,,,,0.0,3.7204724409448824,,0.014604000000019823,
349.48237,,,,349.9825544549791,,26.84375,,,,,1.0644434078477927,,,,,,,,,0.0,,25.9375,,,0.0,,25.0625,0.07528916001319885,0.04915308952331543,0.0,,,,,-2.2398022936854614,,,,,,,,,,,,,,0.07647938281297684,,,168.69255112199266,,,,,4.0,,,,,0.0,,,,,,,,6.4031265266243285,,,,,-0.062413579029387836,0.0,,,,0.0,,0.0,,,,1.0,,,28.28125,,,,,2.2857143878936768,,,0.0,,,,,,,
349.485567,,0.0,0.0,,1.0,,0.0,,,,,,,,0.0,1.0,0.0,,,,,,,1.0,,,,,,,,,,0.0,,,,-7.967843004837069E7,2.0,,,0.0,0.0,,,0.0,1.0,,,,,,0.03105199999998831,,0.0,0.0,,,,0.0,,,,-0.0,,,,,,,,,,,,,1.0,0.25,0.0,,,,,3200.0,,,0.0,0.25,,,1.0,,,,,,,,,0.0,3.9173228346456694,,0.0263079999999718,
349.486587,,,,345.0779947383367,,26.84375,,,,,358.3550782501243,,,,,,,,,0.0,,25.9375,,,0.0,,25.0625,0.07528916001319885,0.04915308952331543,0.0,,,,,-2.2988589435560676,,,,,,,,,,,,,,0.07617419958114624,,,168.68956885981925,,,,,4.0,,,,,0.0,,,,,,,,6.4031265266243285,,,,,-0.051762627081855236,0.0,,,,0.0,,0.0,,,,1.0,,,28.28125,,,,,2.2857143878936768,,,0.0,,,,,,,
349.489971,,0.0,0.0,,1.0,,0.0,,,,,,,,0.0,1.0,0.0,,,,,,,1.0,,,,,,,,,,0.0,,,,-8.122258566946314E7,1.0,,,0.0,0.0,,,0.0,1.0,,,,,,0.004216999999982818,,0.0,0.0,,,,0.0,,,,-0.0,,,,,,,,,,,,,1.0,0.25,0.0,,,,,3200.0,,,0.0,0.25,,,1.0,,,,,,,,,0.0,4.015748031496063,,0.0038440000000150576,
349.492186,,,,355.27477709121615,,26.84375,,,,,3.1166498151564483,,,,,,,,,0.0,,26.65625,,,0.0,,25.0625,0.07480086386203766,0.04915308952331543,0.0,,,,,-2.3324130053934575,,,,,,,,,,,,,,0.07617419958114624,,,168.68800359447127,,,,,4.0,,,,,0.0,,,,,,,,6.4031265266243285,,,,,-0.05025868860797512,0.0,,,,0.0,,0.0,,,,1.0,,,25.78125,,,,,2.2857143878936768,,,0.0,,,,,,,
349.496239,,0.0,0.0,,1.0,,0.0,,,,,,,,0.0,1.0,0.0,,,,,,,1.0,,,,,,,,,,0.0,,,,-8.338440353899257E7,1.0,,,0.0,0.0,,,0.0,1.0,,,,,,0.005599000000017895,,0.0,0.0,,,,0.0,,,,-0.0,,,,,,,,,,,,,1.0,0.25,0.0,,,,,3200.0,,,0.0,0.25,,,1.0,,,,,,,,,0.0,4.015748031496063,,0.0039010000000416767,
349.492186,,,,,,,,,,,,,0.0,,,,,,,,,,110.01715000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349.502698,,,,349.28818420367986,,23.75,,,,,6.978099972357804,,,,,,,,,0.0,,26.65625,,,0.0,,18.0625,0.07434309273958206,0.04915308952331543,0.0,,,,,-2.384434073403541,,,,,,,,,,,,,,0.07672353088855743,,,168.6828696669499,,,,,4.0,,,,,0.0,,,,,,,,6.4031265266243285,,,,,-0.037748753758107004,0.0,,,,0.0,,0.0,,,,1.0,,,25.78125,,,,,2.2857143878936768,,,0.0,,,,,,,
349.5062,,0.0,0.0,,1.0,,0.0,,,,,,,,0.0,1.0,0.0,,,,,,,1.0,,,,,,,,,,0.0,,,,-8.770803927805145E7,1.0,,,0.0,0.0,,,0.0,1.0,,,,,,0.010512000000005628,,0.0,0.0,,,,0.0,,,,-0.0,,,,,,,,,,,,,1.0,0.25,0.0,,,,,3200.0,,,0.0,0.25,,,1.0,,,,,,,,,0.0,4.05511811023622,,0.004551999999989675,
349.507426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04915308952331543,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4031265266243285,,,,,,0.0,,,,,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,
