TIME,Operator Controller Unjam Command,shooterCtrl.shooterSpeedErrorAbs,climber.motorCmd,IMU Filtered X Angle,hopper.conv.opMode,Right Intern Moter Current,climber.upperLimitSwitch.stateDbnc,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Driver Trench To Loading Align Only Command,Pneumatics Compressor Current,Operator Controller Shoot Command,Control Panel Actual Angle,intakeCtrl.posState,shooterCtrl.underLoad,climber.motor2Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Pneumatics Main System Pressure,hopper.conv.intakeEndSensor.ballsInConveyor,Drivetrain Heading Correction Command,Driver Loading To Trench Command,Left Master Moter Current,Control Panel Desired Angle,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Control Panel State Machine 3.25 spin,Operator Controller Ctrl Panel Three Rotations Command,hopper.conv.shooterEndSensorTriggeredDbnc,IMU Comp X Angle,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,hopper.conv.conveyorPosition,hopper.conv.intakeEndSensor.curBallHeight,Robot Brownout,botActPoseT,intakeCtrl.intkCommand,hopper.conv.motorCurrent,botActPoseX,botActPoseY,climber.motor1Current,hopper.hopperOpMode,Driver Auto Align and Shoot Command,Drivetrain Left Motor output Duty Cycle,Driver Rotate Command,Driver Turn 180 Deg Command,Drivetrain Pose Angle,loopTiming.loopPeriodSec,Robot Battery Voltage,shooterCtrl.shooterHoldCmdVoltage,intakeCtrl.spdState,Drivetrain Left Wheel Actual Speed,Operator Controller Prep to Shoot Command,Robot Battery Current Draw,shooterCtrl.currentStateShooter,roboRIO JVM Memory Load,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,Control Panel Motor Current,shooterCtrl.shooterActualSpeed_rpm,Operator Controller Ctrl Panel Seek To Color Command,Driver Snail Mode Command,RIO Input Voltage,roboRIO CPU Load,Match Time,Vision Raspberry Pi Framerate,RIO 3V Supply Voltage,Pneumatics Cutoff Switch State,Operator Controller Shot Speed Increment,Driver Auto Align Close and Shoot Command,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,hopper.conv.intakeEndSensorTriggered,hopper.HopperSparkLeftCmd,climber.climbEnabled,Drivetrain Right Wheel Desired Speed,Dataserver File Logger Queue Length,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,shooterCtrl.adjustedSetpointRPM,Operator Controller Shot Speed Decrement,Vision Raspberry Pi Vision System Online,climber.climbCMD,hopper.HopperSparkRightCmd,Right Master Moter Current,Robot CAN Bus Utilization,hopper.conv.intakeEndSensor.curConveyorDirection,PDP Cooling Fans Current,RIO 6V Supply Voltage,Drivetrain Right Wheel Actual Speed,Dataserver Stored Samples,PDP Upper Board Current,Drivetrain Desired Heading,Driver Auto Align Only Command,RIO 5V Supply Voltage,climber.lowerLimitSwitch.stateDbnc,hopper.conv.intakeEndSensor.ballHeightIn,Driver Flip Front/Back Command,loopTiming.loopDurationSec,
sec,bool,,,deg,,A,,cmd,color,cmd,deg,bool,A,bool,deg,,,,ft,ft,mode,deg,A,psi,,RPM,bool,A,deg,pct,sec,bool,bool,degrees,bool,,deg,degrees,pct,,,bool,deg,,,ft,ft,,,bool,pct,cmd,bool,deg,,V,,,RPM,bool,A,,pct,RPM,bool,A,,bool,bool,V,pct,s,fps,V,bool,bool,bool,deg,bool,,,bool,RPM,count,deg,bool,,bool,bool,cmd,,A,pct,,A,V,RPM,count,A,deg,bool,V,,,bool,,
743.591616,0.0,,,2.794703242938072,,0.0,,-0.0,-1.0,-0.0,359.3241144373442,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.07742691040039062,1.0,0.0,0.0,0.0,,0.6385119256594349,0.0,,,,,,,,,,,,0.0,0.0,-0.007811769544267086,0.0,1709.7757652188434,,,,,-0.0,0.0,,,,0.0,0.0,,,0.0,1.0,,,,6.492529643045107,,,0.0,0.0,-0.15484732807646212,1.0,,,,0.0,,-11.436891179721014,0.0,,0.0,1.0,,,0.0,,,,,0.0,,,130.7665827371379,0.0,,,,0.0,,
743.611366,,0.0,0.0,,1.0,,0.0,,,,,,,,,0.0,1.0,0.0,,,,,,,17.0,,,,,,,,,,,0.0,,,,-1.8540985373581326E10,0.0,,,0.0,0.0,,,0.0,1.0,,,,,,0.1042410000000018,,7.2166752689518034,0.0,,,,0.0,,,,,-0.0,,,,,,,,,,,,,0.0,0.25,0.0,,,,,3200.0,,,-0.0,0.25,,,1.0,,,,,,,,,0.0,9.23228346456684,,0.003303999999957341,
743.627109,0.0,,,2.594147803477539,,0.0,,-0.0,-1.0,-0.0,359.9073833924581,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.07742691040039062,1.0,0.0,0.0,0.0,,0.635972964423198,0.0,,,,,,,,,,,,0.0,0.0,-0.007811769544267086,0.0,1709.7873105941915,,,,,-0.0,0.0,,,,0.0,0.0,,,0.0,1.0,,,,6.492529643045107,,,0.0,0.0,-0.1640311784297043,1.0,,,,0.0,,-11.436891179721014,0.0,,0.0,1.0,,,0.0,,,,,0.0,,,130.7665827371379,0.0,,,,0.0,,
743.635066,,0.0,0.0,,1.0,,0.0,,,,,,,,,0.0,1.0,0.0,,,,,,,17.0,,,,,,,,,,,0.0,,,,-1.8540985373581326E10,0.0,,,0.0,0.0,,,0.0,1.0,,,,,,0.03549299999997402,,7.2166752689518034,0.0,,,,0.0,,,,,-0.0,,,,,,,,,,,,,0.0,0.25,0.0,,,,,3200.0,,,-0.0,0.25,,,1.0,,,,,,,,,0.0,9.212598425196761,,0.020241999999939253,
743.635504,0.0,,,358.5388066615489,,0.0,,-0.0,-1.0,-0.0,357.73228482271156,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.07742691040039062,1.0,0.0,0.0,0.0,,0.6318707607479906,0.0,,,,,,,,,,,,0.0,0.0,-0.007811769544267086,0.0,1709.7920516489658,,,,,-0.0,0.0,,,,0.0,0.0,,,0.0,1.0,,,,6.492529643045107,,,0.0,0.0,-0.15797281195878876,1.0,,,,0.0,,-11.436891179721014,0.0,,0.0,1.0,,,0.0,,,,,0.0,,,130.7665827371379,0.0,,,,0.0,,
743.641992,,0.0,0.0,,1.0,,0.0,,,,,,,,,0.0,1.0,0.0,,,,,,,17.0,,,,,,,,,,,0.0,,,,-1.8540985373581326E10,0.0,,,0.0,0.0,,,0.0,1.0,,,,,,0.008394999999950414,,7.2166752689518034,0.0,,,,0.0,,,,,-0.0,,,,,,,,,,,,,0.0,0.25,0.0,,,,,3200.0,,,-0.0,0.25,,,1.0,,,,,,,,,0.0,9.173228346456604,,0.008228000000030988,
743.643289,0.0,,,358.2779909334667,,0.0,,-0.0,-1.0,-0.0,1.9547978502497745,0.0,0.0,0.0,,,,,,,0.0,,0.0,116.95296250000001,,0.0,0.0,0.0,,0.0,0.07742691040039062,1.0,0.0,0.0,0.0,,0.6340172971113436,0.0,,,,,,,,,,,,0.0,0.0,-0.007811769544267086,0.0,1709.7946298821523,,,,,-0.0,0.0,,,,0.0,0.0,,,0.0,1.0,,,,6.492529643045107,,1.0,0.0,0.0,-0.15483369849505452,1.0,,,,0.0,,-11.436891179721014,0.0,,0.0,1.0,,,0.0,,,,,0.0,,,130.7665827371379,0.0,,,,0.0,,
743.650776,,0.0,0.0,,1.0,,0.0,,,,,,,,,0.0,1.0,0.0,,,,,,,17.0,,,,,,,,,,,0.0,,,,-1.8540985373581326E10,0.0,,,0.0,0.0,,,0.0,1.0,,,,,,0.007785000000012587,,7.2166752689518034,0.0,,,,0.0,,,,,-0.0,,,,,,,,,,,,,0.0,0.25,0.0,,,,,3200.0,,,-0.0,0.25,,,1.0,,,,,,,,,0.0,9.133858267716446,,0.007055000000036671,
743.651211,0.0,,,3.6087295952176284,,0.0,,-0.0,-1.0,-0.0,5.62932890400625,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.05281805992126465,1.0,0.0,0.0,0.0,,0.6372245935744737,0.0,,,,,,,,,,,,0.0,0.0,-0.007811769544267086,0.0,1709.7961213695394,,,,,-0.0,0.0,,,,0.0,0.0,,,0.0,1.0,,,,5.361921356516358,,,0.0,0.0,-0.14667823329880436,1.0,,,,0.0,,-11.436891179721014,0.0,,0.0,1.0,,,0.0,,,,,0.0,,,130.7665827371379,0.0,,,,0.0,,
