TIME,Operator Controller Unjam Command,shooterCtrl.shooterSpeedErrorAbs,climber.motorCmd,IMU Filtered X Angle,hopper.conv.opMode,Right Intern Moter Current,climber.upperLimitSwitch.stateDbnc,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Driver Trench To Loading Align Only Command,Pneumatics Compressor Current,Operator Controller Shoot Command,intakeCtrl.posState,shooterCtrl.underLoad,climber.motor2Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Pneumatics Main System Pressure,hopper.conv.intakeEndSensor.ballsInConveyor,Drivetrain Heading Correction Command,Driver Loading To Trench Command,Left Master Moter Current,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Control Panel State Machine 3.25 spin,Operator Controller Ctrl Panel Three Rotations Command,hopper.conv.shooterEndSensorTriggeredDbnc,IMU Comp X Angle,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,hopper.conv.conveyorPosition,hopper.conv.intakeEndSensor.curBallHeight,Robot Brownout,botActPoseT,intakeCtrl.intkCommand,hopper.conv.motorCurrent,botActPoseX,botActPoseY,climber.motor1Current,hopper.hopperOpMode,Driver Auto Align and Shoot Command,Drivetrain Left Motor output Duty Cycle,Driver Rotate Command,Driver Turn 180 Deg Command,Drivetrain Pose Angle,loopTiming.loopPeriodSec,Robot Battery Voltage,shooterCtrl.shooterHoldCmdVoltage,intakeCtrl.spdState,Drivetrain Left Wheel Actual Speed,Operator Controller Prep to Shoot Command,Robot Battery Current Draw,shooterCtrl.currentStateShooter,roboRIO JVM Memory Load,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,shooterCtrl.shooterActualSpeed_rpm,Operator Controller Ctrl Panel Seek To Color Command,Driver Snail Mode Command,RIO Input Voltage,roboRIO CPU Load,Match Time,Vision Raspberry Pi Framerate,RIO 3V Supply Voltage,Pneumatics Cutoff Switch State,Operator Controller Shot Speed Increment,Driver Auto Align Close and Shoot Command,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,hopper.conv.intakeEndSensorTriggered,hopper.HopperSparkLeftCmd,climber.climbEnabled,Drivetrain Right Wheel Desired Speed,Dataserver File Logger Queue Length,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,shooterCtrl.adjustedSetpointRPM,Operator Controller Shot Speed Decrement,Vision Raspberry Pi Vision System Online,climber.climbCMD,hopper.HopperSparkRightCmd,Right Master Moter Current,Robot CAN Bus Utilization,hopper.conv.intakeEndSensor.curConveyorDirection,PDP Cooling Fans Current,RIO 6V Supply Voltage,Drivetrain Right Wheel Actual Speed,Dataserver Stored Samples,PDP Upper Board Current,Drivetrain Desired Heading,Driver Auto Align Only Command,RIO 5V Supply Voltage,climber.lowerLimitSwitch.stateDbnc,hopper.conv.intakeEndSensor.ballHeightIn,Driver Flip Front/Back Command,loopTiming.loopDurationSec,
sec,bool,,,deg,,A,,cmd,color,cmd,deg,bool,A,bool,,,,ft,ft,mode,deg,A,psi,,RPM,bool,A,pct,sec,bool,bool,degrees,bool,,deg,degrees,pct,,,bool,deg,,,ft,ft,,,bool,pct,cmd,bool,deg,,V,,,RPM,bool,A,,pct,RPM,bool,,bool,bool,V,pct,s,fps,V,bool,bool,bool,deg,bool,,,bool,RPM,count,deg,bool,,bool,bool,cmd,,A,pct,,A,V,RPM,count,A,deg,bool,V,,,bool,,
597.662987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,12.85,,,,,0.0,,,,,,,,12.611331054687499,,15.0,,,,,,,,,,,,5.0,,,,,,,,,0.36774805188179016,,0.0,,,0.0,0.0,,,,,,,,
597.673664,,,,358.95064056334496,,0.0,,,,,0.6677519195708752,,,,,,,,,0.0,,0.0,,,0.0,,0.0,0.0,0.10041189193725586,0.0,,,,,-1.5617151577277626,,,,,,,,,,,,,,0.0,,,433.32795451384766,,,,,-0.0,,,,,0.0,,,,,,,,6.055077870106772,,,,,-0.02249787510949636,0.0,,,,0.0,,0.0,,,,1.0,,,0.0,,,,,0.0,,,0.0,,,,,,,
597.6974010000001,,0.0,0.0,,1.0,,0.0,,,,,,,,0.0,1.0,0.0,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,,,0.1291990000000851,,0.0,0.0,,,,0.0,,,,-0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,3200.0,,,0.0,0.0,,,1.0,,,,,,,,,1.0,9.350393700787304,,0.004477000000065345,
597.722571,,,,358.9505696495497,,0.125,,,,,359.95230120353125,,,,,,,,,0.0,,0.0,,,0.0,,0.3125,0.02630695514380932,0.10041189193725586,0.0,,,,,-1.5634925551571328,,,,,,,,,,,,,,0.03820917382836342,,,433.3517088005144,,,,,-0.0,,,,,0.0,,,,,,,,6.055077870106772,,,,,-0.029302689390888773,0.0,,,,0.0,,0.0,,,,1.0,,,0.15625,,,,,0.0,,,0.0,,,,,,,
597.734197,,0.0,0.0,,1.0,,0.0,,,,,,,,0.0,1.0,0.0,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,,,0.0489069999999856,,0.0,0.0,,,,0.0,,,,-0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,3200.0,,,0.0,0.0,,,1.0,,,,,,,,,1.0,9.291338582677067,,0.024964999999951942,
597.741309,,,,355.39272964928904,,0.03125,,,,,354.42240361836855,,,,,,,,,0.0,,0.28125,,,0.0,,0.03125,0.07086397707462311,0.10041189193725586,0.0,,,,,-1.5755848104895323,,,,,,,,,,,,,,0.07251197844743729,,,433.36446596410417,,,,,-0.0,,,,,0.0,,,,,,,,6.055077870106772,,,,,-0.04302312633408974,0.0,,,,0.0,,0.0,,,,1.0,,,0.0,,,,,0.0,,,0.0,,,,,,,
597.750181,,0.0,0.0,,1.0,,0.0,,,,,,,,0.0,1.0,0.0,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,,,0.018737999999984822,,0.0,0.0,,,,0.0,,,,-0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,3200.0,,,0.0,0.0,,,1.0,,,,,,,,,1.0,9.23228346456683,,0.016228999999952975,
597.751855,,,,344.757136756219,,24.34375,,,,,351.2947444748821,,0.0,,,,,,,0.0,,0.03125,115.96213214285717,,0.0,,0.15625,0.07541123777627945,0.10041189193725586,0.0,,,,,-1.6497197806538972,,,,,,,,,,,,,,0.07348857074975967,,,433.3836662230785,,,,,-0.0,,,,,0.0,,,,,,,,6.055077870106772,,1.0,,,-0.07560996102683433,0.0,,,,0.0,,0.0,,,,1.0,,,19.8125,,,,,1.1428571939468384,,,0.0,,,,,,,
597.770315,,0.0,0.0,,1.0,,0.0,,,,,,,,0.0,1.0,0.0,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,,,0.01054599999997663,,0.0,0.0,,,,0.0,,,,-0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,3200.0,,,0.0,0.0,,,1.0,,,,,,,,,1.0,9.251968503936908,,0.009805000000028485,
597.773846,,,,348.0517361525411,,24.34375,,,,,6.525497707978869,,,,,,,,,0.0,,16.65625,,,0.0,,0.15625,0.07541123777627945,0.10041189193725586,0.0,,,,,-1.8850786565099573,,,,,,,,,,,,,,0.07483138889074326,,,433.4209355620528,,,,,3.4285714626312256,,,,,0.0,,,,,,,,6.055077870106772,,,,,-0.10439003634949565,0.0,,,,0.0,,0.0,,,,1.0,,,28.9375,,,,,2.857142925262451,,,0.0,,,,,,,
597.782233,,0.0,0.0,,1.0,,0.0,,,,,,,,0.0,1.0,0.0,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,,,0.021991000000070926,,0.0,0.0,,,,0.0,,,,-0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,3200.0,,,0.0,0.0,,,1.0,,,,,,,,,1.0,9.251968503936908,,0.020249000000035267,
597.787675,,,,349.5400564107738,,27.0,,,,,5.369206348836074,,,,,,,,,0.0,,24.875,,,0.0,,25.71875,0.07510605454444885,0.09697079658508301,0.0,,,,,-2.0554567214451134,,,,,,,,,,,,,,0.07605212926864624,,,433.42514143743745,,,,,6.857142925262451,,,,,0.0,,,,,,,,6.053347573207868,,,,,-0.0028850313253958445,0.0,,,,0.0,,0.0,,,,1.0,,,28.9375,,,,,2.857142925262451,,,0.0,,,,,,,
597.795808,,0.0,0.0,,1.0,,0.0,,,,,,,,0.0,1.0,0.0,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,,,0.01382899999998699,,0.0,0.0,,,,0.0,,,,-0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,3200.0,,,0.0,0.0,,,1.0,,,,,,,,,1.0,9.192913385826671,,0.01269800000000032,
