TIME,Operator Controller Unjam Command,shooterCtrl.shooterSpeedErrorAbs,climber.motorCmd,IMU Filtered X Angle,hopper.conv.opMode,Right Intern Moter Current,climber.upperLimitSwitch.stateDbnc,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Driver Trench To Loading Align Only Command,Pneumatics Compressor Current,Operator Controller Shoot Command,intakeCtrl.posState,shooterCtrl.underLoad,climber.motor2Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Pneumatics Main System Pressure,hopper.conv.intakeEndSensor.ballsInConveyor,Drivetrain Heading Correction Command,Driver Loading To Trench Command,Left Master Moter Current,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Control Panel State Machine 3.25 spin,Operator Controller Ctrl Panel Three Rotations Command,hopper.conv.shooterEndSensorTriggeredDbnc,IMU Comp X Angle,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,hopper.conv.conveyorPosition,hopper.conv.intakeEndSensor.curBallHeight,Robot Brownout,botActPoseT,intakeCtrl.intkCommand,hopper.conv.motorCurrent,botActPoseX,botActPoseY,climber.motor1Current,hopper.hopperOpMode,Driver Auto Align and Shoot Command,Drivetrain Left Motor output Duty Cycle,Driver Rotate Command,Driver Turn 180 Deg Command,Drivetrain Pose Angle,loopTiming.loopPeriodSec,Robot Battery Voltage,shooterCtrl.shooterHoldCmdVoltage,intakeCtrl.spdState,Drivetrain Left Wheel Actual Speed,Operator Controller Prep to Shoot Command,Robot Battery Current Draw,shooterCtrl.currentStateShooter,roboRIO JVM Memory Load,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,shooterCtrl.shooterActualSpeed_rpm,Operator Controller Ctrl Panel Seek To Color Command,Driver Snail Mode Command,RIO Input Voltage,roboRIO CPU Load,Match Time,Vision Raspberry Pi Framerate,RIO 3V Supply Voltage,Pneumatics Cutoff Switch State,Operator Controller Shot Speed Increment,Driver Auto Align Close and Shoot Command,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,hopper.conv.intakeEndSensorTriggered,hopper.HopperSparkLeftCmd,climber.climbEnabled,Drivetrain Right Wheel Desired Speed,Dataserver File Logger Queue Length,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,shooterCtrl.adjustedSetpointRPM,Operator Controller Shot Speed Decrement,Vision Raspberry Pi Vision System Online,climber.climbCMD,hopper.HopperSparkRightCmd,Right Master Moter Current,Robot CAN Bus Utilization,hopper.conv.intakeEndSensor.curConveyorDirection,PDP Cooling Fans Current,RIO 6V Supply Voltage,Drivetrain Right Wheel Actual Speed,Dataserver Stored Samples,PDP Upper Board Current,Drivetrain Desired Heading,Driver Auto Align Only Command,RIO 5V Supply Voltage,climber.lowerLimitSwitch.stateDbnc,hopper.conv.intakeEndSensor.ballHeightIn,Driver Flip Front/Back Command,loopTiming.loopDurationSec,
sec,bool,,,deg,,A,,cmd,color,cmd,deg,bool,A,bool,,,,ft,ft,mode,deg,A,psi,,RPM,bool,A,pct,sec,bool,bool,degrees,bool,,deg,degrees,pct,,,bool,deg,,,ft,ft,,,bool,pct,cmd,bool,deg,,V,,,RPM,bool,A,,pct,RPM,bool,,bool,bool,V,pct,s,fps,V,bool,bool,bool,deg,bool,,,bool,RPM,count,deg,bool,,bool,bool,cmd,,A,pct,,A,V,RPM,count,A,deg,bool,V,,,bool,,
144.18587,,,,358.24606577526225,,0.0,,,,,1.279804420633463,,,,,,,,,0.0,,0.0,,,0.0,,0.0,0.0,0.04626607894897461,0.0,,,,,-1.5342935066964605,,,,,,,,,,,,,,0.0,,,102.58553598798258,,,,,-0.0,,,,,0.0,,,,,,,,6.545111808123839,,,,,-0.16156477551365117,0.0,,,,0.0,,0.0,,,,1.0,,,0.0,,,,,0.0,,,0.0,,,,,,,
144.203512,,0.0,0.0,,1.0,,0.0,,,,,,,,0.0,1.0,0.0,,,,,,,1.0,,,,,,,,,,0.0,,,,-6.022206922260575E7,2.0,,,0.0,0.0,,,0.0,1.0,,,,,,0.17935099999999693,,0.0,0.0,,,,0.0,,,,-0.0,,,,,,,,,,,,,1.0,0.25,0.0,,,,,3200.0,,,0.0,0.25,,,1.0,,,,,,,,,1.0,2.4803149606299213,,0.002250000000003638,
144.211742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,12.85,,,,,0.0,,,,,,,,12.630178466796874,,15.0,,,,,,,,,,,,59.0,,,,,,,,,0.37699753046035767,,0.0,,,0.0,0.0,,,,,,,,
144.237211,,,,359.9063167063781,,0.0625,,,,,356.57853110076314,,,,,,,,,0.0,,0.1875,,,0.0,,0.09375,0.05710013210773468,0.04626607894897461,0.0,,,,,-1.5374985998710462,,,,,,,,,,,,,,0.06521805375814438,,,102.59030228352593,,,,,-0.0,,,,,0.0,,,,,,,,6.545111808123839,,,,,-0.17101400575076187,0.0,,,,0.0,,0.0,,,,1.0,,,0.1875,,,,,0.0,,,0.0,,,,,,,
144.249642,,0.0,0.0,,1.0,,0.0,,,,,,,,0.0,1.0,0.0,,,,,,,1.0,,,,,,,,,,0.0,,,,-7.53547943093118E7,2.0,,,0.0,0.0,,,0.0,1.0,,,,,,0.05134100000000785,,0.0,0.0,,,,0.0,,,,-0.0,,,,,,,,,,,,,1.0,0.25,0.0,,,,,3200.0,,,0.0,0.25,,,1.0,,,,,,,,,1.0,2.5196850393700787,,0.018616000000008626,
144.252646,,,,343.2955024590493,,0.125,,,,,1.7242723850375075,,,,,,,,,0.0,,0.15625,,,0.0,,17.0625,0.0716269388794899,0.04626607894897461,0.0,,,,,-1.6195726559602448,,,,,,,,,,,,,,0.07440412789583206,,,102.58483640999724,,,,,-0.0,,,,,0.0,,,,,,,,6.545111808123839,,,,,-0.1344632004940655,0.0,,,,0.0,,0.0,,,,1.0,,,0.0625,,,,,0.0,,,0.0,,,,,,,
144.257075,,0.0,0.0,,1.0,,0.0,,,,,,,,0.0,1.0,0.0,,,,,,,1.0,,,,,,,,,,0.0,,,,-8.122258566946314E7,2.0,,,0.0,0.0,,,0.0,1.0,,,,,,0.015434999999996535,,0.0,0.0,,,,0.0,,,,-0.0,,,,,,,,,,,,,1.0,0.25,0.0,,,,,3200.0,,,0.0,0.25,,,1.0,,,,,,,,,1.0,2.559055118110236,,0.012960999999990008,
144.260473,,,,346.87180086544925,,0.125,,,,,0.13370176821884586,,,,,,,,,0.0,,0.15625,,,0.0,,17.0625,0.07321390509605408,0.04626607894897461,0.0,,,,,-1.6856158749802952,,,,,,,,,,,,,,0.07553330808877945,,,102.57838226052226,,,,,-0.0,,,,,0.0,,,,,,,,6.545111808123839,,,,,-0.1211062729711516,0.0,,,,0.0,,0.0,,,,1.0,,,0.0625,,,,,0.0,,,0.0,,,,,,,
144.265692,,0.0,0.0,,1.0,,0.0,,,,,,,,0.0,1.0,0.0,,,,,,,1.0,,,,,,,,,,0.0,,,,-8.400206578742957E7,2.0,,,0.0,0.0,,,0.0,1.0,,,,,,0.007826999999991813,,0.0,0.0,,,,0.0,,,,-0.0,,,,,,,,,,,,,1.0,0.25,0.0,,,,,3200.0,,,0.0,0.25,,,1.0,,,,,,,,,1.0,2.559055118110236,,0.0049539999999979045,
