TIME,Operator Controller Unjam Command,shooterCtrl.shooterSpeedErrorAbs,climber.motorCmd,IMU Filtered X Angle,hopper.conv.opMode,Right Intern Moter Current,climber.upperLimitSwitch.stateDbnc,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Driver Trench To Loading Align Only Command,Pneumatics Compressor Current,Operator Controller Shoot Command,intakeCtrl.posState,shooterCtrl.underLoad,climber.motor2Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Pneumatics Main System Pressure,hopper.conv.intakeEndSensor.ballsInConveyor,Drivetrain Heading Correction Command,Driver Loading To Trench Command,Left Master Moter Current,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Control Panel State Machine 3.25 spin,Operator Controller Ctrl Panel Three Rotations Command,hopper.conv.shooterEndSensorTriggeredDbnc,IMU Comp X Angle,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,hopper.conv.conveyorPosition,hopper.conv.intakeEndSensor.curBallHeight,Robot Brownout,botActPoseT,intakeCtrl.intkCommand,hopper.conv.motorCurrent,botActPoseX,botActPoseY,climber.motor1Current,hopper.hopperOpMode,Driver Auto Align and Shoot Command,Drivetrain Left Motor output Duty Cycle,Driver Rotate Command,Driver Turn 180 Deg Command,Drivetrain Pose Angle,loopTiming.loopPeriodSec,Robot Battery Voltage,shooterCtrl.shooterHoldCmdVoltage,intakeCtrl.spdState,Drivetrain Left Wheel Actual Speed,Operator Controller Prep to Shoot Command,Robot Battery Current Draw,shooterCtrl.currentStateShooter,roboRIO JVM Memory Load,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,shooterCtrl.shooterActualSpeed_rpm,Operator Controller Ctrl Panel Seek To Color Command,Driver Snail Mode Command,RIO Input Voltage,roboRIO CPU Load,Match Time,Vision Raspberry Pi Framerate,RIO 3V Supply Voltage,Pneumatics Cutoff Switch State,Operator Controller Shot Speed Increment,Driver Auto Align Close and Shoot Command,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,hopper.conv.intakeEndSensorTriggered,hopper.HopperSparkLeftCmd,climber.climbEnabled,Drivetrain Right Wheel Desired Speed,Dataserver File Logger Queue Length,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,shooterCtrl.adjustedSetpointRPM,Operator Controller Shot Speed Decrement,Vision Raspberry Pi Vision System Online,climber.climbCMD,hopper.HopperSparkRightCmd,Right Master Moter Current,Robot CAN Bus Utilization,hopper.conv.intakeEndSensor.curConveyorDirection,PDP Cooling Fans Current,RIO 6V Supply Voltage,Drivetrain Right Wheel Actual Speed,Dataserver Stored Samples,PDP Upper Board Current,Drivetrain Desired Heading,Driver Auto Align Only Command,RIO 5V Supply Voltage,climber.lowerLimitSwitch.stateDbnc,hopper.conv.intakeEndSensor.ballHeightIn,Driver Flip Front/Back Command,loopTiming.loopDurationSec,
sec,bool,,,deg,,A,,cmd,color,cmd,deg,bool,A,bool,,,,ft,ft,mode,deg,A,psi,,RPM,bool,A,pct,sec,bool,bool,degrees,bool,,deg,degrees,pct,,,bool,deg,,,ft,ft,,,bool,pct,cmd,bool,deg,,V,,,RPM,bool,A,,pct,RPM,bool,,bool,bool,V,pct,s,fps,V,bool,bool,bool,deg,bool,,,bool,RPM,count,deg,bool,,bool,bool,cmd,,A,pct,,A,V,RPM,count,A,deg,bool,V,,,bool,,
159.827632,0.0,,,2.515999212542852,,0.0,,0.0,,0.0,8.626118676796592,0.0,,0.0,,,,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.05155611038208008,0.0,0.0,,0.0,,-1.7801556070946656,,75.1,,,,,,,,,,,0.0,0.0,-0.018865061031134542,0.0,51.44851519221764,,,,,-0.0,0.0,,,71.63594006708652,0.0,0.0,,0.0,1.0,,89.7,,8.725935203080693,,,0.0,0.0,-0.20394731768605848,0.0,,,,0.0,,0.0,0.0,,0.0,1.0,,,0.0,,,,,0.0,,,70.39904871221893,0.0,,,,0.0,,
159.889131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,12.55,,,,,0.0,,,,,,,,12.372597167968749,,135.0,,,,,,,,,,,,53.0,,,,,,,,,0.39164599776268005,,0.0,,,0.0,0.0,,,,,,,,
159.827632,,,,,,,,,-1.0,,,,8.90625,,,,,,,,,,104.53455535714286,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160.0016,,0.0,0.0,,1.0,,0.0,,,,,,,,0.0,1.0,0.0,,,,,,,1.0,,,,,,,,,,0.0,,,,-4.033334482293493E9,0.0,,,0.0,0.0,,,0.0,1.0,,,,,,0.3497649999999908,,7.20008971914649,0.0,,,,0.0,,,,1457.14306640625,,,,,,,,,,,,,0.0,0.25,0.0,,,,,3200.0,,,0.0,0.25,,,1.0,,,,,,,,,1.0,9.251968503936972,,0.2910669999999982,
160.003907,0.0,,,358.6107385600491,,0.0,,0.0,-1.0,0.0,0.2778261349914107,0.0,,1.0,,,,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.04716897010803223,0.0,0.0,0.0,0.0,,-1.8041689021869125,0.0,,,,,,,,,,,,0.0,0.0,-0.018865061031134542,0.0,51.46426689738247,,,,,-0.0,0.0,,,,0.0,0.0,,0.0,1.0,,,,8.229805669795624,,,0.0,0.0,-0.2112403612740304,0.0,,,,0.0,,0.0,0.0,,0.0,1.0,,,0.0,,,,,0.0,,,70.39904871221893,0.0,,,,0.0,,
160.011964,,0.0,0.0,,2.0,,0.0,,,,,,,,0.0,1.0,0.0,,,,,,,1.0,,,,,,,,,,0.0,,,,-4.033334482293493E9,0.0,,,0.0,0.0,,,0.0,1.0,,,,,,0.17627500000000396,,7.20008971914649,0.0,,,,0.0,,,,1457.14306640625,,,,,,,,,,,,,0.0,0.25,0.0,,,,,3200.0,,,0.0,0.25,,,1.0,,,,,,,,,1.0,9.251968503936972,,0.17519599999999969,
160.013074,0.0,,,355.93167935175535,,0.0,,0.0,-1.0,0.0,355.9826173929103,0.0,,1.0,,,,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.04716897010803223,0.0,0.0,0.0,0.0,,-1.805207243709683,0.0,,,,,,,,,,,,0.0,0.0,-0.018865061031134542,0.0,51.46511684603937,,,,,-0.0,0.0,,,,0.0,0.0,,0.0,1.0,,,,8.229805669795624,,,0.0,0.0,-0.21402659319900746,0.0,,,,0.0,,0.0,0.0,,0.0,1.0,,,0.0,,,,,0.0,,,70.39904871221893,0.0,,,,0.0,,
160.022231,,1742.85693359375,0.0,,2.0,,0.0,,,,,,,,0.0,1.0,0.0,,,,,,,1.0,,,,,,,,,,0.0,,,,-4.033334482293493E9,0.0,,,0.0,0.0,,,0.0,1.0,,,,,,0.009166999999990821,,7.20008971914649,0.0,,,,1.0,,,,1457.14306640625,,,,,,,,,,,,,0.0,0.25,0.0,,,,,3200.0,,,0.0,0.25,,,1.0,,,,,,,,,1.0,9.251968503936972,,0.008315000000010286,
160.02271,0.0,,,358.5694252530184,,0.0,,0.0,-1.0,0.0,3.5536805636190727,0.0,,1.0,,,,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.04716897010803223,0.0,0.0,0.0,0.0,,-1.7937940466709585,0.0,,,,,,,,,,,,0.0,0.0,-0.018865061031134542,0.0,51.46685370043498,,,,,-0.0,0.0,,,,0.0,0.0,,0.0,1.0,,,,8.229805669795624,,,0.0,0.0,-0.21508568347287066,0.0,,,,0.0,,0.0,0.0,,0.0,1.0,,,0.0,,,,,0.0,,,70.39904871221893,0.0,,,,0.0,,
