TIME,Operator Controller Unjam Command,Ball Counter Ball Count,IMU Filtered X Angle,Shooter Desired Speed,Right Intern Moter Current,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Hopper Motor Left Cmd,Hopper Motor Right Current,Pneumatics Compressor Current,Shots Taken,Climber Input Command,Operator Controller Shoot Command,Control Panel Actual Angle,Climber Motor 2 Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Shooter Wheel Current Control Mode,Control Panel Desired Angle,Shooter Input Mode Command,Left Master Moter Current,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Conveyor Motor Speed Command,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Control Panel State Machine 3.25 spin,Hopper Motor Right Cmd,Conveyor Intake End Ball Present,Intake Speed State,Ball Distance Sensor Raw Voltage,Operator Controller Ctrl Panel Three Rotations Command,Main Loop Call Period,IMU Comp X Angle,Shooter Motor 1 Current,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,Operator Controller Photon Cannon Command,Ball Counter Sensor Distance,Robot Brownout,botActPoseT,botActPoseX,botActPoseY,Climber Motor 1 Current,Driver Auto Align and Shoot Command,Shooter Motor 1 Percent,Drivetrain Left Motor output Duty Cycle,Intake Fault,Driver Rotate Command,Climber Upper Limit Switch,Drivetrain Pose Angle,Intake Motor Speed,Robot Battery Voltage,Drivetrain Left Wheel Actual Speed,Robot Battery Current Draw,Operator Controller Prep to Shoot Command,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,Control Panel Motor Current,Ball Counter Ball Height State,Operator Controller Ctrl Panel Seek To Color Command,Conveyor Position,Driver Snail Mode Command,Shooter Actual Speed,RIO Input Voltage,Main Loop Process Duration,Ball Distance Sensor Available,roboRIO CPU Load,Intake Speed Command,Vision Raspberry Pi Framerate,RIO 3V Supply Voltage,Ball Distance Sensor Distance,Pneumatics Cutoff Switch State,Intake Solenoid Command,Operator Controller Shot Speed Increment,Driver Auto Align Close and Shoot Command,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,Color Sensor Match Color,Conveyor Motor Current,Color Sensor Red Intensity,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,Shooter Motor 2 Current,Operator Controller Shot Speed Decrement,Color Sensor Green Intensity,Vision Raspberry Pi Vision System Online,Robot CAN Bus Utilization,Right Master Moter Current,Climber Motor Command,PDP Cooling Fans Current,RIO 6V Supply Voltage,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,Conveyor Shooter End Ball Present,PDP Upper Board Current,Drivetrain Desired Heading,Driver Auto Align Only Command,RIO 5V Supply Voltage,Intake Position State,Hopper Motor Left Current,Driver Flip Front/Back Command,
sec,bool,count,deg,RPM,A,cmd,color,cmd,deg,cmd,A,A,balls,cmd,bool,deg,A,ft,ft,mode,deg,A,A,psi,RPM,state,deg,state,A,pct,sec,pct,bool,bool,degrees,cmd,bool,state,V,bool,sec,deg,A,degrees,pct,bool,in,bool,deg,ft,ft,A,bool,pct,pct,bits,cmd,state,deg,RPM,V,RPM,A,bool,pct,state,sat,RPM,bool,A,heightState,bool,feet,bool,RPM,V,sec,bool,pct,cmd,fps,V,in,bool,bool,bool,bool,deg,bool,color,A,sat,count,RPM,deg,bool,A,bool,sat,bool,pct,A,cmd,A,V,count,bool,RPM,bool,A,deg,bool,V,state,A,bool,
196.335327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012990000000002055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196.430846,0.0,4.0,1.7326921605054222,0.0,0.0,1.431107521057129E-4,,0.0,3.3756282251357512,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.04557442665100098,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.09551899999999591,1.249587226203732,0.0,,,0.0,9.291338582677215,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.58912967765502,-0.0,,-0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,,0.06344300000000658,1.0,,0.0,6.527530674369238,,9.291338582677215,,0.0,0.0,0.0,0.9281848503386103,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
196.521932,0.0,4.0,2.0409257658714535,0.0,0.0,1.431107521057129E-4,,0.0,1.323681543649566,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,3.0518509447574615E-5,0.04557442665100098,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.09108599999999001,1.2516554836490268,0.0,,,0.0,9.330708661417372,,,,,0.0,0.0,0.0,3.0518509447574615E-5,0.0,0.0,0.0,19.47797658190411,-0.0,,-0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,,0.012228000000021666,1.0,,0.0,6.527530674369238,,9.330708661417372,,0.0,0.0,0.0,0.8701410074717978,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
196.536309,0.0,4.0,1.8579421190317889,0.0,0.0,1.431107521057129E-4,,0.0,1.407426782075065,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,3.0518509447574615E-5,0.04557442665100098,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.014376999999996087,1.25264156846473,0.0,,,0.0,9.330708661417372,,,,,0.0,0.0,0.0,3.0518509447574615E-5,0.0,0.0,0.0,19.439090131452343,-0.0,,-0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,,0.022147000000018124,1.0,,0.0,6.527530674369238,,9.330708661417372,,0.0,0.0,0.0,0.8432003535163723,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
196.56026300000002,0.0,4.0,2.4777531497584295,0.0,0.0,1.431107521057129E-4,,0.0,0.4053275341329578,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,3.0518509447574615E-5,0.04557442665100098,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.02395400000000336,1.2639786267905533,0.0,,,0.0,9.311023622047294,,,,,0.0,0.0,0.0,3.0518509447574615E-5,0.0,0.0,0.0,19.39137981831437,-0.0,,-0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,,0.00959100000000035,1.0,,0.0,6.527530674369238,,9.311023622047294,,0.0,0.0,0.0,0.7997639233570946,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
196.572778,0.0,4.0,2.379064568383024,0.0,0.0,1.431107521057129E-4,,0.0,0.5946059219687354,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,3.0518509447574615E-5,0.04557442665100098,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.012515000000007603,1.2635784157979155,0.0,,73.0,0.0,9.330708661417372,,,,,0.0,0.0,0.0,3.0518509447574615E-5,0.0,0.0,0.0,19.37245674002377,-0.0,,-0.0,,0.0,58.398956948138306,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,,0.013574000000005526,1.0,71.6,0.0,6.527530674369238,,9.330708661417372,,0.0,0.0,0.0,0.7649353798367744,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
196.589102,0.0,4.0,1.6309819942423778,0.0,0.0,1.431107521057129E-4,-1.0,0.0,1.4987087102059617,0.0,0.0,8.90625,0.0,0.0,0.0,2.3703720569610596,0.0,,,0.0,,0.0,0.0,64.70317500000002,0.0,-1.0,2.3703720569610596,3.0,0.0,3.0518509447574615E-5,0.04552769660949707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.01632399999999734,1.2932589326498067,0.0,0.0,,0.0,9.271653543307135,0.0,,,,0.0,0.0,0.0,3.0518509447574615E-5,0.0,0.0,0.0,19.319916532893135,-0.0,12.450000000000001,-0.0,0.0,0.0,,0.0,0.20849609375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,12.290925048828125,0.025046000000003232,1.0,,0.0,6.563455438556958,,9.271653543307135,0.0,0.0,0.0,0.0,0.7264497273610843,0.0,-1.0,0.0,0.28271484375,4.0,0.0,0.0,0.0,0.0,0.0,0.50927734375,1.0,0.5667772889137268,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
196.615198,0.0,4.0,1.2423543147462173,0.0,0.0,1.431107521057129E-4,,0.0,359.7699517133759,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,3.0518509447574615E-5,0.04552769660949707,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.026095999999995456,1.2905543620170885,0.0,,,0.0,9.212598425196898,,,,,0.0,0.0,0.0,3.0518509447574615E-5,0.0,0.0,0.0,19.31270628073196,-0.0,,-0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,,0.007970000000000255,1.0,,0.0,6.563455438556958,,9.212598425196898,,0.0,0.0,0.0,0.7127772398596888,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
196.624535,0.0,4.0,1.3796313166283092,0.0,0.0,1.431107521057129E-4,,0.0,1.854023978382369,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,3.0518509447574615E-5,0.04552769660949707,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.00933700000001636,1.290609383028314,0.0,,,0.0,9.212598425196898,,,,,0.0,0.0,0.0,3.0518509447574615E-5,0.0,0.0,0.0,19.301161082441364,-0.0,,-0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,,0.007221999999984519,1.0,,0.0,6.563455438556958,,9.212598425196898,,0.0,0.0,0.0,0.7283085589632277,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
