TIME,Operator Controller Unjam Command,Ball Counter Ball Count,IMU Filtered X Angle,Shooter Desired Speed,Right Intern Moter Current,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Hopper Motor Left Cmd,Hopper Motor Right Current,Pneumatics Compressor Current,Shots Taken,Climber Input Command,Operator Controller Shoot Command,Climber Motor 2 Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Shooter Wheel Current Control Mode,Shooter Input Mode Command,Left Master Moter Current,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Conveyor Motor Speed Command,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Hopper Motor Right Cmd,Control Panel State Machine 3.25 spin,Conveyor Intake End Ball Present,Intake Speed State,Ball Distance Sensor Raw Voltage,Operator Controller Ctrl Panel Three Rotations Command,Main Loop Call Period,IMU Comp X Angle,Shooter Motor 1 Current,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,Operator Controller Photon Cannon Command,Ball Counter Sensor Distance,Robot Brownout,botActPoseT,botActPoseX,botActPoseY,Climber Motor 1 Current,Driver Auto Align and Shoot Command,Shooter Motor 1 Percent,Drivetrain Left Motor output Duty Cycle,Intake Fault,Driver Rotate Command,Climber Upper Limit Switch,Drivetrain Pose Angle,Intake Motor Speed,Robot Battery Voltage,Drivetrain Left Wheel Actual Speed,Robot Battery Current Draw,Operator Controller Prep to Shoot Command,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,Ball Counter Ball Height State,Operator Controller Ctrl Panel Seek To Color Command,Conveyor Position,Driver Snail Mode Command,Shooter Actual Speed,RIO Input Voltage,Main Loop Process Duration,Ball Distance Sensor Available,roboRIO CPU Load,Intake Speed Command,Vision Raspberry Pi Framerate,RIO 3V Supply Voltage,Ball Distance Sensor Distance,Pneumatics Cutoff Switch State,Intake Solenoid Command,Operator Controller Shot Speed Increment,Driver Auto Align Close and Shoot Command,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,Conveyor Motor Current,Color Sensor Match Color,Color Sensor Red Intensity,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,Shooter Motor 2 Current,Operator Controller Shot Speed Decrement,Color Sensor Green Intensity,Vision Raspberry Pi Vision System Online,Robot CAN Bus Utilization,Right Master Moter Current,Climber Motor Command,PDP Cooling Fans Current,RIO 6V Supply Voltage,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,Conveyor Shooter End Ball Present,PDP Upper Board Current,Drivetrain Desired Heading,Driver Auto Align Only Command,RIO 5V Supply Voltage,Intake Position State,Hopper Motor Left Current,Driver Flip Front/Back Command,
sec,bool,count,deg,RPM,A,cmd,color,cmd,deg,cmd,A,A,balls,cmd,bool,A,ft,ft,mode,deg,A,A,psi,RPM,state,state,A,pct,sec,pct,bool,bool,cmd,degrees,bool,state,V,bool,sec,deg,A,degrees,pct,bool,in,bool,deg,ft,ft,A,bool,pct,pct,bits,cmd,state,deg,RPM,V,RPM,A,bool,pct,state,sat,RPM,bool,heightState,bool,feet,bool,RPM,V,sec,bool,pct,cmd,fps,V,in,bool,bool,bool,bool,deg,bool,A,color,sat,count,RPM,deg,bool,A,bool,sat,bool,pct,A,cmd,A,V,count,bool,RPM,bool,A,deg,bool,V,state,A,bool,
31.415058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0030689999999999884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.483933,0.0,0.0,357.7434809809677,0.0,0.0,0.0,,0.0,2.7965087128100614,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,3.0,0.0,0.0,0.04730963706970215,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.06887500000000202,0.45725516165991176,0.0,,,0.0,8.956692913385798,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2636598738460934,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,,0.01859500000000125,1.0,,0.0,6.971833771880979,,8.956692913385798,,0.0,0.0,0.0,-0.07562058640417357,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
31.511946,0.0,0.0,356.77116632635233,0.0,0.0,0.0,,0.0,1.6642202615318271,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,3.0,0.0,0.0,0.04730963706970215,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.028012999999997845,0.4574667447359356,0.0,,,0.0,9.05511811023619,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2608065287178882,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,,0.013707000000000136,1.0,,0.0,6.971833771880979,,9.05511811023619,,0.0,0.0,0.0,-0.08088243436069545,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
31.529709,0.0,0.0,356.65727479041107,0.0,0.0,0.0,,0.0,1.1300595979105117,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,3.0,0.0,0.0,0.04730963706970215,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.017763000000002194,0.46329487064970265,0.0,,,0.0,9.05511811023619,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.258392938717888,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,,0.007272000000000389,1.0,,0.0,6.971833771880979,,9.05511811023619,,0.0,0.0,0.0,-0.0785774202640062,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
31.541602,0.0,0.0,357.3749453292483,0.0,0.0,0.0,,0.0,1.8372102359249285,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,3.0,0.0,0.0,0.046851158142089844,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.011893000000000598,0.46967789150838135,0.0,,,0.0,9.015748031496033,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.255881673589683,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,,0.011157999999998225,1.0,,0.0,6.49820282095139,,9.015748031496033,,0.0,0.0,0.0,-0.07232680490934065,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
31.556656,0.0,0.0,359.2197834253994,0.0,0.0,0.0,,0.0,2.0409347290154276,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,3.0,0.0,0.0,0.046851158142089844,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.015053999999999235,0.47947771481693957,0.0,,,0.0,9.015748031496033,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2567347799999395,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,,0.012630000000001473,1.0,,0.0,6.49820282095139,,9.015748031496033,,0.0,0.0,0.0,-0.07239737743575353,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
31.572591,0.0,0.0,359.02184821406814,0.0,0.0,0.0,,0.0,2.1293051053590855,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,3.0,0.0,0.0,0.046851158142089844,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.015934999999998922,0.47489149415103543,0.0,,,0.0,9.035433070866112,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2579841451281455,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,,0.03284500000000179,1.0,,0.0,6.49820282095139,,9.035433070866112,,0.0,0.0,0.0,-0.0716423245222762,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
31.612261,0.0,0.0,2.0468447289973284,0.0,0.0,0.0,,0.0,359.5823616506971,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,3.0,0.0,0.0,0.046851158142089844,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.03967000000000098,0.4601281689208481,0.0,,,0.0,9.05511811023619,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2642733474358379,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,,0.012986999999998972,1.0,,0.0,6.49820282095139,,9.05511811023619,,0.0,0.0,0.0,-0.059157331441812025,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
31.629336,0.0,0.0,359.84962045980933,0.0,0.0,0.0,,0.0,359.6491127253358,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,3.0,0.0,0.0,0.046851158142089844,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.017074999999998397,0.45956248090635254,0.0,,,0.0,9.074803149606268,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2647165464101964,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,,0.014030000000001763,1.0,,0.0,6.49820282095139,,9.074803149606268,,0.0,0.0,0.0,-0.05740616980817605,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
