TIME,Operator Controller Unjam Command,Ball Counter Ball Count,IMU Filtered X Angle,Shooter Motor 2 Speed,Shooter Desired Speed,Right Intern Moter Current,Robot Front Tilt Angle,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Hopper Motor Left Cmd,Shooter Motor 1 Speed,Hopper Motor Right Current,Total Tilt Angle,Pneumatics Compressor Current,Shots Taken,Climber Input Command,Operator Controller Shoot Command,Control Panel Actual Angle,Climber Motor 2 Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Shooter Wheel Current Control Mode,Shooter Motor 2 Percent,Control Panel Desired Angle,Shooter Input Mode Command,Left Master Moter Current,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Conveyor Motor Speed Command,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Control Panel State Machine 3.25 spin,Hopper Motor Right Cmd,Conveyor Intake End Ball Present,Intake Speed State,Ball Distance Sensor Raw Voltage,Operator Controller Ctrl Panel Three Rotations Command,Shooter Motor 2 in Voltage,Main Loop Call Period,IMU Comp X Angle,Shooter Motor 1 Current,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,Operator Controller Photon Cannon Command,Ball Counter Sensor Distance,Photon Cannon State,Robot Brownout,botActPoseT,botActPoseX,botActPoseY,Climber Motor 1 Current,Driver Auto Align and Shoot Command,Shooter Motor 1 Percent,Drivetrain Left Motor output Duty Cycle,Driver Rotate Command,Climber Upper Limit Switch,Drivetrain Pose Angle,Robot Battery Voltage,Drivetrain Left Wheel Actual Speed,Shooter Motor 1 in Voltage,Robot Side Tilt Angle,Robot Battery Current Draw,Operator Controller Prep to Shoot Command,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,Control Panel Motor Current,Ball Counter Ball Height State,Operator Controller Ctrl Panel Seek To Color Command,Conveyor Position,Driver Snail Mode Command,Shooter Actual Speed,Main Loop Process Duration,RIO Input Voltage,Ball Distance Sensor Available,roboRIO CPU Load,Intake Speed Command,Vision Raspberry Pi Framerate,RIO 3V Supply Voltage,Ball Distance Sensor Distance,Pneumatics Cutoff Switch State,Intake Solenoid Command,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,Color Sensor Match Color,Conveyor Motor Current,Color Sensor Red Intensity,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,Shooter Motor 2 Current,Color Sensor Green Intensity,Vision Raspberry Pi Vision System Online,Robot CAN Bus Utilization,Right Master Moter Current,Climber Motor Command,PDP Cooling Fans Current,RIO 6V Supply Voltage,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,Conveyor Shooter End Ball Present,PDP Upper Board Current,Drivetrain Desired Heading,Driver Auto Align Only Command,RIO 5V Supply Voltage,Intake Position State,Hopper Motor Left Current,Driver Flip Front/Back Command,
sec,bool,count,deg,RPM,RPM,A,degrees,cmd,color,cmd,deg,cmd,RPM,A,degrees,A,balls,cmd,bool,deg,A,ft,ft,mode,deg,A,A,psi,RPM,state,pct,deg,state,A,pct,sec,pct,bool,bool,degrees,cmd,bool,state,V,bool,V,sec,deg,A,degrees,pct,bool,in,bool,bool,deg,ft,ft,A,bool,pct,pct,cmd,state,deg,V,RPM,V,degrees,A,bool,pct,state,sat,RPM,bool,A,heightState,bool,feet,bool,RPM,sec,V,bool,pct,cmd,fps,V,in,bool,bool,deg,bool,color,A,sat,count,RPM,deg,bool,A,sat,bool,pct,A,cmd,A,V,count,bool,RPM,bool,A,deg,bool,V,state,A,bool,
249.005839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026894999999996116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249.05665,0.0,0.0,359.32822112832815,0.0,0.0,0.0,,0.0,-1.0,0.0,359.95201681233334,0.0,-0.0,0.0,-0.22826883015341082,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,69.781485075,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.04360532760620117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12.859375,0.05081099999998173,-0.8393406731210266,0.0,0.0,,0.0,8.62204724409444,0.0,0.0,,,,0.0,0.0,0.0,0.0,3.497574607448723E-7,0.0,-179.84325986113006,12.9,-0.0,12.9296875,89.77173116984659,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038866000000012946,12.705568115234374,1.0,,0.0,6.507165275293336,,8.62204724409444,1.0,0.0,-0.13156029620031276,0.0,-1.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4737717807292938,0.0,0.0,0.0,,38.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
249.100623,0.0,0.0,359.33269179303153,0.0,0.0,0.0,,0.0,-1.0,0.0,0.047663793967034046,0.0,-0.0,0.0,-0.9057866601106355,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,69.781485075,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.04360532760620117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12.859375,0.043973000000022466,-0.8402645534716457,0.0,0.0,,0.0,8.661417322834597,0.0,0.0,,,,0.0,0.0,0.0,0.0,3.497574607448723E-7,0.0,-179.83758191357205,12.950000000000001,-0.0,12.9375,89.09421333988936,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028422999999975218,12.69928564453125,1.0,,0.0,6.507165275293336,,8.661417322834597,1.0,0.0,-0.1332344598729063,0.0,-1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5596646070480347,0.0,0.0,0.0,,38.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
249.135078,0.0,0.0,359.28084405319487,0.0,0.0,0.0,,0.0,-1.0,0.0,359.952057446761,0.0,-0.0,0.0,-0.6793647554652438,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,69.7357087125,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0886392593383789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12.8515625,0.03445499999997992,-0.8406826534166634,0.0,0.0,,0.0,8.759842519684991,0.0,0.0,,,,0.0,0.0,0.0,0.0,3.497574607448723E-7,0.0,-179.83283379679543,12.950000000000001,-0.0,12.9296875,89.32063524453476,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021473000000014508,12.7118505859375,1.0,,0.0,6.06570852579547,,8.759842519684991,1.0,0.0,-0.13683608741965883,0.0,-1.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,1.0,0.49493178725242615,0.0,0.0,0.0,,38.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
249.164866,0.0,0.0,359.1370352361912,0.0,0.0,0.0,,0.0,-1.0,0.0,359.8561777576696,0.0,-0.0,0.0,-0.9093804491991335,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,69.9188141625,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0886392593383789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12.8515625,0.029787999999996373,-0.8410276576921817,0.0,0.0,,0.0,8.740157480314913,0.0,0.0,,,,0.0,0.0,0.0,0.0,3.497574607448723E-7,0.0,-179.83019085218007,12.950000000000001,-0.0,12.9375,89.09061955080087,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02334900000002449,12.69928564453125,1.0,,0.0,6.06570852579547,,8.740157480314913,1.0,0.0,-0.1379051534675542,0.0,-1.0,0.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5234382748603821,0.0,0.0,0.0,,38.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
249.195613,0.0,0.0,359.28264550431714,0.0,0.0,0.0,,0.0,-1.0,0.0,0.09564480070240572,0.0,-0.0,0.0,-0.6820603931726481,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,69.781485075,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0886392593383789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12.859375,0.030747000000019398,-0.8436332671231604,0.0,0.0,,0.0,8.700787401574756,0.0,0.0,,,,0.0,0.0,0.0,0.0,3.497574607448723E-7,0.0,-179.829588590605,12.950000000000001,-0.0,12.921875,89.31793960682735,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024909999999977117,12.718133056640625,1.0,,0.0,6.06570852579547,,8.700787401574756,1.0,0.0,-0.13547765622003308,0.0,-1.0,0.0,0.0,322.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5383757948875427,0.0,0.0,0.0,,38.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
249.237659,0.0,0.0,359.04281411235166,0.0,0.0,0.0,,0.0,-1.0,0.0,359.4257055322056,0.0,-0.0,0.0,-0.6847775070091444,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,69.68993234999999,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.04396653175354004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12.8515625,0.04204599999999914,-0.8448887723010102,0.0,0.0,,0.0,8.740157480314913,0.0,0.0,,,,0.0,0.0,0.0,0.0,3.497574607448723E-7,0.0,-179.8238216276989,12.950000000000001,-0.0,12.9375,89.31522249299086,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02548699999999826,12.718133056640625,1.0,,0.0,6.387164465939876,,8.740157480314913,1.0,0.0,-0.140017247728082,0.0,-1.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,1.0,0.49165597558021545,0.0,0.0,0.0,,38.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
249.268649,0.0,0.0,359.28264550431714,0.0,0.0,0.0,,0.0,-1.0,0.0,359.90435511709893,0.0,-0.0,0.0,-0.45292162896119237,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,69.96459052499999,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.04396653175354004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12.859375,0.030990000000002738,-0.8423983911266305,0.0,0.0,,0.0,8.681102362204676,0.0,0.0,,,,0.0,0.0,0.0,0.0,3.497574607448723E-7,0.0,-179.82097708921296,12.950000000000001,-0.0,12.9375,89.54707837103881,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018604999999979555,12.718133056640625,1.0,,0.0,6.387164465939876,,8.681102362204676,1.0,0.0,-0.14297449951514057,0.0,-1.0,0.0,0.0,207.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5438449382781982,0.0,0.0,0.0,,38.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
249.291335,0.0,0.0,359.28024382811014,0.0,0.0,0.0,,0.0,-1.0,0.0,359.8560523344794,0.0,-0.0,0.0,-0.22736301099055822,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,70.0103668875,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.04396653175354004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12.859375,0.0226859999999931,-0.8453915639375463,0.0,0.0,,0.0,8.62204724409444,0.0,0.0,,,,0.0,0.0,0.0,0.0,3.497574607448723E-7,0.0,-179.81868062768672,12.950000000000001,-0.0,12.9375,89.77263698900944,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019205999999996948,12.69928564453125,1.0,,0.0,6.387164465939876,,8.62204724409444,1.0,0.0,-0.1393034655431393,0.0,-1.0,0.0,0.0,313.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5302289128303528,0.0,0.0,0.0,,38.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
