TIME,Operator Controller Unjam Command,Ball Counter Ball Count,IMU Filtered X Angle,Shooter Motor 2 Speed,Shooter Desired Speed,Right Intern Moter Current,Robot Front Tilt Angle,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Hopper Motor Left Cmd,Shooter Motor 1 Speed,Hopper Motor Right Current,Total Tilt Angle,Pneumatics Compressor Current,Shots Taken,Climber Input Command,Operator Controller Shoot Command,Control Panel Actual Angle,Climber Motor 2 Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Shooter Wheel Current Control Mode,Shooter Motor 2 Percent,Control Panel Desired Angle,Shooter Input Mode Command,Left Master Moter Current,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Conveyor Motor Speed Command,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Control Panel State Machine 3.25 spin,Hopper Motor Right Cmd,Conveyor Intake End Ball Present,Intake Speed State,Ball Distance Sensor Raw Voltage,Operator Controller Ctrl Panel Three Rotations Command,Shooter Motor 2 in Voltage,Main Loop Call Period,IMU Comp X Angle,Shooter Motor 1 Current,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,Operator Controller Photon Cannon Command,Ball Counter Sensor Distance,Robot Brownout,botActPoseT,botActPoseX,botActPoseY,Climber Motor 1 Current,Driver Auto Align and Shoot Command,Shooter Motor 1 Percent,Drivetrain Left Motor output Duty Cycle,Intake Fault,Driver Rotate Command,Climber Upper Limit Switch,Drivetrain Pose Angle,Intake Motor Speed,Robot Battery Voltage,Drivetrain Left Wheel Actual Speed,Shooter Motor 1 in Voltage,Robot Side Tilt Angle,Robot Battery Current Draw,Operator Controller Prep to Shoot Command,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,Control Panel Motor Current,Ball Counter Ball Height State,Operator Controller Ctrl Panel Seek To Color Command,Conveyor Position,Driver Snail Mode Command,Shooter Actual Speed,RIO Input Voltage,Main Loop Process Duration,Ball Distance Sensor Available,roboRIO CPU Load,Intake Speed Command,Vision Raspberry Pi Framerate,RIO 3V Supply Voltage,Ball Distance Sensor Distance,Pneumatics Cutoff Switch State,Intake Solenoid Command,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,Color Sensor Match Color,Conveyor Motor Current,Color Sensor Red Intensity,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,Shooter Motor 2 Current,Color Sensor Green Intensity,Vision Raspberry Pi Vision System Online,Robot CAN Bus Utilization,Right Master Moter Current,Climber Motor Command,PDP Cooling Fans Current,RIO 6V Supply Voltage,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,Conveyor Shooter End Ball Present,PDP Upper Board Current,Drivetrain Desired Heading,Driver Auto Align Only Command,RIO 5V Supply Voltage,Intake Position State,Hopper Motor Left Current,Driver Flip Front/Back Command,
sec,bool,count,deg,RPM,RPM,A,degrees,cmd,color,cmd,deg,cmd,RPM,A,degrees,A,balls,cmd,bool,deg,A,ft,ft,mode,deg,A,A,psi,RPM,state,pct,deg,state,A,pct,sec,pct,bool,bool,degrees,cmd,bool,state,V,bool,V,sec,deg,A,degrees,pct,bool,in,bool,deg,ft,ft,A,bool,pct,pct,bits,cmd,state,deg,RPM,V,RPM,V,degrees,A,bool,pct,state,sat,RPM,bool,A,heightState,bool,feet,bool,RPM,V,sec,bool,pct,cmd,fps,V,in,bool,bool,deg,bool,color,A,sat,count,RPM,deg,bool,A,sat,bool,pct,A,cmd,A,V,count,bool,RPM,bool,A,deg,bool,V,state,A,bool,
377.09631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01603099999999813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377.138641,0.0,7.0,358.83099354117036,0.0,0.0,0.0,,1.431107521057129E-4,,0.0,359.1359789262083,0.0,-0.0,0.0,,,2.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,0.0,,3.0,0.0,0.0,0.04462432861328125,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,12.4296875,0.042330999999990127,-1.355938308322455,0.0,,,0.0,8.956692913385824,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.82559502154908,-0.0,,-0.0,12.5546875,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,-1.2526190398301995E9,0.0,0.0,,0.021692999999970652,1.0,,0.0,9.441208315044287,,8.956692913385824,,0.0,-0.4733686103155789,0.0,,0.0,,,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,71.6478181954007,0.0,,0.0,0.0,0.0,
377.16562,0.0,7.0,358.42777909769137,0.0,0.0,0.0,,1.431107521057129E-4,,0.0,358.71369080519787,0.0,-0.0,0.0,,,2.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,0.0,,3.0,0.0,0.0,0.04462432861328125,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,12.4921875,0.02697899999998299,-1.356704175700657,0.0,,,0.0,8.937007874015745,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.82748261817912,-0.0,,-0.0,12.640625,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,-1.2526190398301995E9,0.0,0.0,,0.012886000000037257,1.0,,0.0,9.441208315044287,,8.937007874015745,,0.0,-0.47337873878544595,0.0,,0.0,,,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,71.6478181954007,0.0,,0.0,0.0,0.0,
377.184854,0.0,7.0,358.2012376508961,0.0,0.0,0.0,,1.431107521057129E-4,,0.0,359.0278090495581,0.0,-0.0,0.0,,,2.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,0.0,,3.0,0.0,0.0,0.04462432861328125,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,12.5390625,0.019233999999983098,-1.3637193467484492,0.0,,,0.0,8.917322834645667,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.83118386164676,-0.0,,-0.0,12.6796875,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,-1.2526190398301995E9,0.0,0.0,,0.01304800000002615,1.0,,0.0,9.441208315044287,,8.917322834645667,,0.0,-0.4732237182363734,0.0,,0.0,,,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,71.6478181954007,0.0,,0.0,0.0,0.0,
377.203572,0.0,7.0,358.63141960914976,0.0,0.0,0.0,,1.431107521057129E-4,,0.0,359.95112669147096,0.0,-0.0,0.0,,,2.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,0.0,,3.0,0.0,0.0,0.04462432861328125,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,12.59375,0.018718000000035317,-1.3640197227190682,0.0,,,0.0,8.917322834645667,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.83028648064554,-0.0,,-0.0,12.609375,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,-1.2526190398301995E9,0.0,0.0,,0.009128999999973075,1.0,,0.0,9.441208315044287,,8.917322834645667,,0.0,-0.46923177137101185,0.0,,0.0,,,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,71.6478181954007,0.0,,0.0,0.0,0.0,
377.219284,0.0,7.0,358.84267053901357,0.0,0.0,0.0,,1.431107521057129E-4,,0.0,0.1446564887361783,0.0,-0.0,0.0,,,2.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,0.0,,3.0,0.0,0.0,0.04462432861328125,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,12.515625,0.01571200000000772,-1.366822449699629,0.0,,,0.0,8.937007874015745,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.83095275727558,-0.0,,-0.0,12.65625,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,-1.2526190398301995E9,0.0,0.0,,0.01097999999996091,1.0,,0.0,9.441208315044287,,8.937007874015745,,0.0,-0.47051087403616887,0.0,,0.0,,,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,71.6478181954007,0.0,,0.0,0.0,0.0,
377.235546,0.0,7.0,358.9984287177027,0.0,0.0,0.0,,1.431107521057129E-4,,0.0,358.95072963979067,0.0,-0.0,0.0,,,2.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,0.0,,3.0,0.0,0.0,0.04462432861328125,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,12.5234375,0.016261999999983345,-1.3674200770630327,0.0,,,0.0,9.01574803149606,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.83073928508998,-0.0,,-0.0,12.65625,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,-1.2526190398301995E9,0.0,0.0,,0.01232700000002751,1.0,,0.0,9.441208315044287,,9.01574803149606,,0.0,-0.4732241475823504,0.0,,0.0,,,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,71.6478181954007,0.0,,0.0,0.0,0.0,
377.253466,0.0,7.0,358.8355867512115,0.0,0.0,0.0,,1.431107521057129E-4,,0.0,359.0595348681039,0.0,-0.0,0.0,,,2.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,0.0,,3.0,0.0,0.0,0.04462432861328125,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,12.578125,0.01792000000000371,-1.367583612019019,0.0,,,0.0,9.035433070866137,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.830385099742,-0.0,,-0.0,12.6953125,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,-1.2526190398301995E9,0.0,0.0,,0.011167000000000371,1.0,,0.0,9.441208315044287,,9.035433070866137,,0.0,-0.47411886194442,0.0,,0.0,,,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,71.6478181954007,0.0,,0.0,0.0,0.0,
377.270833,0.0,7.0,359.4018545288867,0.0,0.0,0.0,,1.431107521057129E-4,,0.0,358.9417017380119,0.0,-0.0,0.0,,,2.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,0.0,,3.0,0.0,0.0,0.04462432861328125,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,12.5625,0.017366999999978816,-1.3648720266363537,0.0,,,0.0,8.9763779527559,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.83090474755642,-0.0,,-0.0,12.65625,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,-1.2526190398301995E9,0.0,0.0,,0.01141699999999446,1.0,,0.0,9.441208315044287,,8.9763779527559,,0.0,-0.47616169251922735,0.0,,0.0,,,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,71.6478181954007,0.0,,0.0,0.0,0.0,
