TIME,Operator Controller Unjam Command,Ball Counter Ball Count,IMU Filtered X Angle,Shooter Desired Speed,Right Intern Moter Current,Robot Front Tilt Angle,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Hopper Motor Left Cmd,Hopper Motor Right Current,Total Tilt Angle,Pneumatics Compressor Current,Shots Taken,Climber Input Command,Operator Controller Shoot Command,Control Panel Actual Angle,Climber Motor 2 Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Shooter Wheel Current Control Mode,Control Panel Desired Angle,Shooter Input Mode Command,Left Master Moter Current,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Conveyor Motor Speed Command,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Control Panel State Machine 3.25 spin,Hopper Motor Right Cmd,Conveyor Intake End Ball Present,Intake Speed State,Ball Distance Sensor Raw Voltage,Operator Controller Ctrl Panel Three Rotations Command,Main Loop Call Period,IMU Comp X Angle,Shooter Motor 1 Current,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,Operator Controller Photon Cannon Command,Ball Counter Sensor Distance,Robot Brownout,botActPoseT,botActPoseX,botActPoseY,Climber Motor 1 Current,Driver Auto Align and Shoot Command,Shooter Motor 1 Percent,Drivetrain Left Motor output Duty Cycle,Intake Fault,Driver Rotate Command,Climber Upper Limit Switch,Drivetrain Pose Angle,Intake Motor Speed,Robot Battery Voltage,Drivetrain Left Wheel Actual Speed,Robot Side Tilt Angle,Robot Battery Current Draw,Operator Controller Prep to Shoot Command,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,Control Panel Motor Current,Ball Counter Ball Height State,Operator Controller Ctrl Panel Seek To Color Command,Conveyor Position,Driver Snail Mode Command,Shooter Actual Speed,Main Loop Process Duration,RIO Input Voltage,Ball Distance Sensor Available,roboRIO CPU Load,Intake Speed Command,Vision Raspberry Pi Framerate,RIO 3V Supply Voltage,Ball Distance Sensor Distance,Pneumatics Cutoff Switch State,Intake Solenoid Command,Driver Auto Align Close and Shoot Command,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,Color Sensor Match Color,Conveyor Motor Current,Color Sensor Red Intensity,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,Shooter Motor 2 Current,Color Sensor Green Intensity,Vision Raspberry Pi Vision System Online,Robot CAN Bus Utilization,Right Master Moter Current,Climber Motor Command,PDP Cooling Fans Current,RIO 6V Supply Voltage,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,Conveyor Shooter End Ball Present,PDP Upper Board Current,Drivetrain Desired Heading,Driver Auto Align Only Command,RIO 5V Supply Voltage,Intake Position State,Hopper Motor Left Current,Driver Flip Front/Back Command,
sec,bool,count,deg,RPM,A,degrees,cmd,color,cmd,deg,cmd,A,degrees,A,balls,cmd,bool,deg,A,ft,ft,mode,deg,A,A,psi,RPM,state,deg,state,A,pct,sec,pct,bool,bool,degrees,cmd,bool,state,V,bool,sec,deg,A,degrees,pct,bool,in,bool,deg,ft,ft,A,bool,pct,pct,bits,cmd,state,deg,RPM,V,RPM,degrees,A,bool,pct,state,sat,RPM,bool,A,heightState,bool,feet,bool,RPM,sec,V,bool,pct,cmd,fps,V,in,bool,bool,bool,deg,bool,color,A,sat,count,RPM,deg,bool,A,sat,bool,pct,A,cmd,A,V,count,bool,RPM,bool,A,deg,bool,V,state,A,bool,
304.596811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027971999999977015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304.664825,0.0,14.0,358.6566283996109,0.0,0.0,,0.0,,0.0,359.90405355579287,0.0,0.0,,,4.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.04905819892883301,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.06801400000000513,-1.5030312628097082,0.0,,,0.0,8.818897637795386,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-2224.5055965312085,-0.0,,-0.0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,-3.729012292488592E10,0.0,-0.0,0.021379999999965094,,1.0,,0.0,5.746456334755457,,8.818897637795386,,0.0,0.0,0.08839272913744574,0.0,,0.0,,,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,-985.8454279125741,0.0,,0.0,0.0,0.0,
304.692706,0.0,14.0,358.7035675727974,0.0,0.0,,0.0,,0.0,0.5761526978375839,0.0,0.0,,,4.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.04616522789001465,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.027880999999979394,-1.500318845723291,0.0,,,0.0,8.818897637795386,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-2224.509280905262,-0.0,,-0.0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,-3.729012292488592E10,0.0,-0.0,0.014970000000005257,,1.0,,0.0,7.235238612742688,,8.818897637795386,,0.0,0.0,0.09092594058641008,0.0,,0.0,,,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,-985.8454279125741,0.0,,0.0,0.0,0.0,
304.713284,0.0,14.0,358.7567158024315,0.0,0.0,,0.0,,0.0,0.09562977886468571,0.0,0.0,,,4.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.04616522789001465,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.02057800000000043,-1.5041371099446155,0.0,,,0.0,8.818897637795386,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-2224.5114730203054,-0.0,,-0.0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,-3.729012292488592E10,0.0,-0.0,0.010454000000038377,,1.0,,0.0,7.235238612742688,,8.818897637795386,,0.0,0.0,0.0949710751765705,0.0,,0.0,,,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,-985.8454279125741,0.0,,0.0,0.0,0.0,
304.729542,0.0,14.0,358.6133111285951,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,4.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.04616522789001465,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.016257999999993444,-1.5027426121673986,0.0,,,0.0,8.818897637795386,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-2224.5137899143588,-0.0,,-0.0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,-3.729012292488592E10,0.0,-0.0,0.00826700000004621,,1.0,,0.0,7.235238612742688,,8.818897637795386,,0.0,0.0,0.09665691928066301,0.0,,0.0,,,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,-985.8454279125741,0.0,,0.0,0.0,0.0,
304.744554,0.0,14.0,358.41818036671606,0.0,0.0,,0.0,,0.0,0.14378366137719903,0.0,0.0,,,4.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.04616522789001465,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.015012000000012904,-1.5050930745651934,0.0,,,0.0,8.858267716535543,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-2224.5166932972284,-0.0,,-0.0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,-3.729012292488592E10,0.0,-0.0,0.012717000000009193,,1.0,,0.0,7.235238612742688,,8.858267716535543,,0.0,0.0,0.09733746580445758,0.0,,0.0,,,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,-985.8454279125741,0.0,,0.0,0.0,0.0,
304.771371,0.0,14.0,358.9496964145725,0.0,0.0,,0.0,,0.0,0.0954768333795341,0.0,0.0,,,4.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.04616522789001465,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.026816999999994096,-1.5100180075177811,0.0,,,0.0,8.8976377952757,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-2224.518271935629,-0.0,,-0.0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,-3.729012292488592E10,0.0,-0.0,0.007449000000008255,,1.0,,0.0,7.235238612742688,,8.8976377952757,,0.0,0.0,0.10408347366071474,0.0,,0.0,,,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,-985.8454279125741,0.0,,0.0,0.0,0.0,
304.784029,0.0,14.0,358.801518687463,0.0,0.0,,0.0,,0.0,0.047935758996812565,0.0,0.0,,,4.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.04616522789001465,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.012657999999987624,-1.5064907388637203,0.0,,,0.0,8.8976377952757,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-2224.5187111375094,-0.0,,-0.0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,-3.729012292488592E10,0.0,-0.0,0.009736000000032163,,1.0,,0.0,7.235238612742688,,8.8976377952757,,0.0,0.0,0.10682082556178628,0.0,,0.0,,,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,-985.8454279125741,0.0,,0.0,0.0,0.0,
304.801791,0.0,14.0,358.61331161150434,0.0,0.0,,0.0,,0.0,0.047812175713564255,0.0,0.0,,,4.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.04616522789001465,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.01776200000000472,-1.5030184142098384,0.0,,,0.0,8.818897637795386,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-2224.5208053237366,-0.0,,-0.0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,-3.729012292488592E10,0.0,-0.0,0.012337000000002263,,1.0,,0.0,7.235238612742688,,8.818897637795386,,0.0,0.0,0.10752689655296492,0.0,,0.0,,,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,-985.8454279125741,0.0,,0.0,0.0,0.0,
