TIME,Operator Controller Unjam Command,Ball Counter Ball Count,IMU Filtered X Angle,Shooter Desired Speed,Right Intern Moter Current,Robot Front Tilt Angle,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Hopper Motor Left Cmd,Hopper Motor Right Current,Total Tilt Angle,Pneumatics Compressor Current,Shots Taken,Climber Input Command,Operator Controller Shoot Command,Control Panel Actual Angle,Climber Motor 2 Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Shooter Wheel Current Control Mode,Control Panel Desired Angle,Shooter Input Mode Command,Left Master Moter Current,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Conveyor Motor Speed Command,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Control Panel State Machine 3.25 spin,Hopper Motor Right Cmd,Conveyor Intake End Ball Present,Intake Speed State,Ball Distance Sensor Raw Voltage,Operator Controller Ctrl Panel Three Rotations Command,Main Loop Call Period,IMU Comp X Angle,Shooter Motor 1 Current,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,Operator Controller Photon Cannon Command,Ball Counter Sensor Distance,Robot Brownout,botActPoseT,botActPoseX,botActPoseY,Climber Motor 1 Current,Driver Auto Align and Shoot Command,Shooter Motor 1 Percent,Drivetrain Left Motor output Duty Cycle,Intake Fault,Driver Rotate Command,Climber Upper Limit Switch,Drivetrain Pose Angle,Intake Motor Speed,Robot Battery Voltage,Drivetrain Left Wheel Actual Speed,Robot Side Tilt Angle,Robot Battery Current Draw,Operator Controller Prep to Shoot Command,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,Control Panel Motor Current,Ball Counter Ball Height State,Operator Controller Ctrl Panel Seek To Color Command,Conveyor Position,Driver Snail Mode Command,Shooter Actual Speed,RIO Input Voltage,Main Loop Process Duration,Ball Distance Sensor Available,roboRIO CPU Load,Intake Speed Command,Vision Raspberry Pi Framerate,RIO 3V Supply Voltage,Ball Distance Sensor Distance,Pneumatics Cutoff Switch State,Intake Solenoid Command,Operator Controller Shot Speed Increment,Driver Auto Align Close and Shoot Command,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,Color Sensor Match Color,Conveyor Motor Current,Color Sensor Red Intensity,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,Shooter Motor 2 Current,Operator Controller Shot Speed Decrement,Color Sensor Green Intensity,Vision Raspberry Pi Vision System Online,Robot CAN Bus Utilization,Right Master Moter Current,Climber Motor Command,PDP Cooling Fans Current,RIO 6V Supply Voltage,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,Conveyor Shooter End Ball Present,PDP Upper Board Current,Drivetrain Desired Heading,Driver Auto Align Only Command,RIO 5V Supply Voltage,Intake Position State,Hopper Motor Left Current,Driver Flip Front/Back Command,
sec,bool,count,deg,RPM,A,degrees,cmd,color,cmd,deg,cmd,A,degrees,A,balls,cmd,bool,deg,A,ft,ft,mode,deg,A,A,psi,RPM,state,deg,state,A,pct,sec,pct,bool,bool,degrees,cmd,bool,state,V,bool,sec,deg,A,degrees,pct,bool,in,bool,deg,ft,ft,A,bool,pct,pct,bits,cmd,state,deg,RPM,V,RPM,degrees,A,bool,pct,state,sat,RPM,bool,A,heightState,bool,feet,bool,RPM,V,sec,bool,pct,cmd,fps,V,in,bool,bool,bool,bool,deg,bool,color,A,sat,count,RPM,deg,bool,A,bool,sat,bool,pct,A,cmd,A,V,count,bool,RPM,bool,A,deg,bool,V,state,A,bool,
1602.677418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022556000000122367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602.729003,0.0,0.0,358.80750560642065,0.0,0.0,,0.0,,0.0,359.90460721618393,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.04390835762023926,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.051584999999931824,-1.4852250792258725,0.0,,,0.0,8.700787401574853,,,,,0.0,0.0,0.0,0.0,0.0,0.0032872554695021843,0.0,533.6947906951995,-0.0,,-0.0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,-0.0,,0.02199400000017704,1.0,,0.0,7.624870473856625,,8.700787401574853,,0.0,0.0,0.0,0.1167711449091008,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
1602.758123,0.0,0.0,358.6133285130109,0.0,0.0,,0.0,,0.0,359.7131291940885,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.04390835762023926,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.02912000000014814,-1.4844440033510344,0.0,,,0.0,8.661417322834696,,,,,0.0,0.0,0.0,0.0,0.0,0.0032872554695021843,0.0,533.6964116829648,-0.0,,-0.0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,-0.0,,0.010055999999849519,1.0,,0.0,7.624870473856625,,8.661417322834696,,0.0,0.0,0.0,0.11959943483121638,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
1602.774367,0.0,0.0,358.94882245816547,0.0,0.0,,0.0,,0.0,0.14333448912722493,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.04390835762023926,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.016243999999915104,-1.4827314943197285,0.0,,,0.0,8.681102362204776,,,,,0.0,0.0,0.0,0.0,0.0,0.0032872554695021843,0.0,533.6997921389476,-0.0,,-0.0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,-0.0,,0.011189000000058513,1.0,,0.0,7.624870473856625,,8.681102362204776,,0.0,0.0,0.0,0.12346885520014862,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
1602.799666,0.0,0.0,358.9444241550277,0.0,0.0,,0.0,-1.0,0.0,359.80808754978864,0.0,0.0,-0.6820603931726481,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,107.44099107142856,0.0,-1.0,0.0,3.0,0.0,0.0,0.04390835762023926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.02529899999990448,-1.4878781655631608,0.0,0.0,,0.0,8.681102362204776,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0032872554695021843,0.0,533.7036518143076,-0.0,12.950000000000001,-0.0,89.31793960682735,0.0,0.0,,0.0,0.174072265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,12.7118505859375,0.02397200000018529,1.0,,0.0,7.624870473856625,,8.681102362204776,1.0,0.0,0.0,0.0,0.1250514828949013,0.0,0.0,0.0,0.391357421875,256.0,0.0,0.0,0.0,0.0,0.0,0.434814453125,1.0,0.483004629611969,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
1602.830673,0.0,0.0,358.90105580232466,0.0,0.0,,0.0,,0.0,359.8088905657292,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.04390835762023926,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.031007000000045082,-1.4873855717507511,0.0,,,0.0,8.661417322834698,,,,,0.0,0.0,0.0,0.0,0.0,0.0032872554695021843,0.0,533.706494482073,-0.0,,-0.0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,-0.0,,0.014429000000063752,1.0,,0.0,7.624870473856625,,8.661417322834698,,0.0,0.0,0.0,0.12360110490942929,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
1602.851505,0.0,0.0,358.805519116235,0.0,0.0,,0.0,,0.0,0.14332746291089563,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.04422259330749512,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.02083200000015495,-1.4876128656398617,0.0,,,0.0,8.681102362204776,,,,,0.0,0.0,0.0,0.0,0.0,0.0032872554695021843,0.0,533.709376979753,-0.0,,-0.0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,-0.0,,0.009250999999949272,1.0,,0.0,6.876618404851649,,8.681102362204776,,0.0,0.0,0.0,0.12480448029219558,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
1602.867537,0.0,0.0,358.42081757766607,0.0,0.0,,0.0,,0.0,0.04784795730206663,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.04422259330749512,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.016031999999995605,-1.4875002051595565,0.0,,,0.0,8.700787401574853,,,,,0.0,0.0,0.0,0.0,0.0,0.0032872554695021843,0.0,533.7145651675186,-0.0,,-0.0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,-0.0,,0.008235999999897103,1.0,,0.0,6.876618404851649,,8.700787401574853,,0.0,0.0,0.0,0.1265440041977064,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
1602.882083,0.0,0.0,358.8523391881067,0.0,0.0,,0.0,,0.0,359.713102722079,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.04422259330749512,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.014545999999882042,-1.4860190076748998,0.0,,,0.0,8.700787401574853,,,,,0.0,0.0,0.0,0.0,0.0,0.0032872554695021843,0.0,533.7160393788495,-0.0,,-0.0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,-0.0,,0.010058999999955631,1.0,,0.0,6.876618404851649,,8.700787401574853,,0.0,0.0,0.0,0.12816090643212272,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
