TIME,Operator Controller Unjam Command,Ball Counter Ball Count,IMU Filtered X Angle,Shooter Desired Speed,Right Intern Moter Current,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Hopper Motor Left Cmd,Hopper Motor Right Current,Pneumatics Compressor Current,Shots Taken,Climber Input Command,Operator Controller Shoot Command,Control Panel Actual Angle,Climber Motor 2 Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Shooter Wheel Current Control Mode,Control Panel Desired Angle,Shooter Input Mode Command,Left Master Moter Current,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Conveyor Motor Speed Command,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Control Panel State Machine 3.25 spin,Hopper Motor Right Cmd,Conveyor Intake End Ball Present,Intake Speed State,Ball Distance Sensor Raw Voltage,Operator Controller Ctrl Panel Three Rotations Command,Main Loop Call Period,IMU Comp X Angle,Shooter Motor 1 Current,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,Operator Controller Photon Cannon Command,Ball Counter Sensor Distance,Robot Brownout,botActPoseT,botActPoseX,botActPoseY,Climber Motor 1 Current,Driver Auto Align and Shoot Command,Shooter Motor 1 Percent,Drivetrain Left Motor output Duty Cycle,Intake Fault,Driver Rotate Command,Climber Upper Limit Switch,Drivetrain Pose Angle,Intake Motor Speed,Robot Battery Voltage,Drivetrain Left Wheel Actual Speed,Robot Battery Current Draw,Operator Controller Prep to Shoot Command,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,Control Panel Motor Current,Ball Counter Ball Height State,Operator Controller Ctrl Panel Seek To Color Command,Conveyor Position,Driver Snail Mode Command,Shooter Actual Speed,Main Loop Process Duration,RIO Input Voltage,Ball Distance Sensor Available,roboRIO CPU Load,Intake Speed Command,Vision Raspberry Pi Framerate,RIO 3V Supply Voltage,Ball Distance Sensor Distance,Pneumatics Cutoff Switch State,Intake Solenoid Command,Operator Controller Shot Speed Increment,Driver Auto Align Close and Shoot Command,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,Color Sensor Match Color,Conveyor Motor Current,Color Sensor Red Intensity,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,Shooter Motor 2 Current,Operator Controller Shot Speed Decrement,Color Sensor Green Intensity,Vision Raspberry Pi Vision System Online,Robot CAN Bus Utilization,Right Master Moter Current,Climber Motor Command,PDP Cooling Fans Current,RIO 6V Supply Voltage,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,Conveyor Shooter End Ball Present,PDP Upper Board Current,Drivetrain Desired Heading,Driver Auto Align Only Command,RIO 5V Supply Voltage,Intake Position State,Hopper Motor Left Current,Driver Flip Front/Back Command,
sec,bool,count,deg,RPM,A,cmd,color,cmd,deg,cmd,A,A,balls,cmd,bool,deg,A,ft,ft,mode,deg,A,A,psi,RPM,state,deg,state,A,pct,sec,pct,bool,bool,degrees,cmd,bool,state,V,bool,sec,deg,A,degrees,pct,bool,in,bool,deg,ft,ft,A,bool,pct,pct,bits,cmd,state,deg,RPM,V,RPM,A,bool,pct,state,sat,RPM,bool,A,heightState,bool,feet,bool,RPM,sec,V,bool,pct,cmd,fps,V,in,bool,bool,bool,bool,deg,bool,color,A,sat,count,RPM,deg,bool,A,bool,sat,bool,pct,A,cmd,A,V,count,bool,RPM,bool,A,deg,bool,V,state,A,bool,
12.998294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0367879999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.108406,0.0,0.0,4.1807249687600665,0.0,0.0,0.0,,0.0,0.043062025597999536,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.047658443450927734,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.11011200000000088,1.9267482563965133,0.0,,,0.0,9.330708661417324,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.08645293935286646,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,0.028487999999999403,,1.0,,0.0,5.502104789527606,,9.330708661417324,,0.0,0.0,0.0,0.7450584230184136,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
13.139445,0.0,0.0,4.178301595395622,0.0,0.0,0.0,,0.0,359.6857812015751,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.047658443450927734,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.031038999999999817,1.924880151195845,0.0,,,0.0,9.25196850393701,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.084821096886444,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,0.010747000000000284,,1.0,,0.0,5.502104789527606,,9.25196850393701,,0.0,0.0,0.0,0.7424179342591495,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
13.152243,0.0,0.0,359.05567639026594,0.0,0.0,0.0,,0.0,2.9452310746988086,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.047658443450927734,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.012798000000000087,1.9236503104338498,0.0,,,0.0,9.291338582677167,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.08395580163613876,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,0.011642000000000152,,1.0,,0.0,5.502104789527606,,9.291338582677167,,0.0,0.0,0.0,0.7447734421369513,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
13.166008,0.0,0.0,359.09206968078956,0.0,0.0,0.0,,0.0,3.2360863648390246,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.047658443450927734,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.013764999999999361,1.9156829542035438,0.0,,,0.0,9.25196850393701,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.08339881208790917,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,0.01287500000000108,,1.0,,0.0,5.502104789527606,,9.25196850393701,,0.0,0.0,0.0,0.7516590039249825,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
13.180918,0.0,0.0,359.5480755212891,0.0,0.0,0.0,,0.0,2.8256434473509313,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.047658443450927734,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.014910000000000423,1.9120495839651233,0.0,,,0.0,9.271653543307089,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.08424208909645618,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,0.016455000000000553,,1.0,,0.0,5.502104789527606,,9.271653543307089,,0.0,0.0,0.0,0.7564679292055123,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
13.239439,0.0,0.0,0.4901374278384506,0.0,0.0,0.0,,0.0,2.3042388990318043,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.04638195037841797,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.05852100000000071,1.9102679834198608,0.0,,,0.0,9.350393700787404,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.08278097228326935,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,0.01081499999999913,,1.0,,0.0,7.5355803090190445,,9.350393700787404,,0.0,0.0,0.0,0.7704878914320561,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
13.255379,0.0,0.0,3.230240971149405,0.0,0.0,0.0,-1.0,0.0,359.7271653644224,0.0,0.0,8.625,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,93.30514464285714,0.0,-1.0,0.0,3.0,0.0,0.0,0.04638195037841797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.015939999999998733,1.910870082915372,0.0,0.0,,0.0,9.389763779527561,0.0,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.08217041888888593,-0.0,12.700000000000001,-0.0,0.0,0.0,,1.0,0.21240234375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.03505999999999965,12.479399169921875,1.0,,0.0,7.5355803090190445,,9.389763779527561,0.0,0.0,0.0,0.0,0.7671502920421209,0.0,-1.0,0.0,0.281982421875,304.0,0.0,0.0,0.0,0.0,0.0,0.506103515625,1.0,0.46789026260375977,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
13.297939,0.0,0.0,1.3310248767471602,0.0,0.0,0.0,,0.0,0.6654675423458868,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.04638195037841797,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.04255999999999993,1.9107303699705471,0.0,,,0.0,9.370078740157481,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.07983710848595553,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,0.020808999999999855,,1.0,,0.0,7.5355803090190445,,9.370078740157481,,0.0,0.0,0.0,0.76056166288697,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
