TIME,Operator Controller Unjam Command,Ball Counter Ball Count,IMU Filtered X Angle,Shooter Desired Speed,Right Intern Moter Current,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Hopper Motor Left Cmd,Hopper Motor Right Current,Pneumatics Compressor Current,Shots Taken,Climber Input Command,Operator Controller Shoot Command,Control Panel Actual Angle,Climber Motor 2 Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Shooter Wheel Current Control Mode,Control Panel Desired Angle,Shooter Input Mode Command,Left Master Moter Current,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Conveyor Motor Speed Command,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Control Panel State Machine 3.25 spin,Hopper Motor Right Cmd,Conveyor Intake End Ball Present,Intake Speed State,Ball Distance Sensor Raw Voltage,Operator Controller Ctrl Panel Three Rotations Command,Main Loop Call Period,IMU Comp X Angle,Shooter Motor 1 Current,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,Operator Controller Photon Cannon Command,Ball Counter Sensor Distance,Robot Brownout,botActPoseT,botActPoseX,botActPoseY,Climber Motor 1 Current,Driver Auto Align and Shoot Command,Shooter Motor 1 Percent,Drivetrain Left Motor output Duty Cycle,Intake Fault,Driver Rotate Command,Climber Upper Limit Switch,Drivetrain Pose Angle,Intake Motor Speed,Robot Battery Voltage,Drivetrain Left Wheel Actual Speed,Robot Battery Current Draw,Operator Controller Prep to Shoot Command,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,Control Panel Motor Current,Ball Counter Ball Height State,Operator Controller Ctrl Panel Seek To Color Command,Conveyor Position,Driver Snail Mode Command,Shooter Actual Speed,RIO Input Voltage,Main Loop Process Duration,Ball Distance Sensor Available,roboRIO CPU Load,Intake Speed Command,Vision Raspberry Pi Framerate,RIO 3V Supply Voltage,Ball Distance Sensor Distance,Pneumatics Cutoff Switch State,Intake Solenoid Command,Operator Controller Shot Speed Increment,Driver Auto Align Close and Shoot Command,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,Color Sensor Match Color,Conveyor Motor Current,Color Sensor Red Intensity,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,Shooter Motor 2 Current,Operator Controller Shot Speed Decrement,Color Sensor Green Intensity,Vision Raspberry Pi Vision System Online,Robot CAN Bus Utilization,Right Master Moter Current,Climber Motor Command,PDP Cooling Fans Current,RIO 6V Supply Voltage,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,Conveyor Shooter End Ball Present,PDP Upper Board Current,Drivetrain Desired Heading,Driver Auto Align Only Command,RIO 5V Supply Voltage,Intake Position State,Hopper Motor Left Current,Driver Flip Front/Back Command,
sec,bool,count,deg,RPM,A,cmd,color,cmd,deg,cmd,A,A,balls,cmd,bool,deg,A,ft,ft,mode,deg,A,A,psi,RPM,state,deg,state,A,pct,sec,pct,bool,bool,degrees,cmd,bool,state,V,bool,sec,deg,A,degrees,pct,bool,in,bool,deg,ft,ft,A,bool,pct,pct,bits,cmd,state,deg,RPM,V,RPM,A,bool,pct,state,sat,RPM,bool,A,heightState,bool,feet,bool,RPM,V,sec,bool,pct,cmd,fps,V,in,bool,bool,bool,bool,deg,bool,color,A,sat,count,RPM,deg,bool,A,bool,sat,bool,pct,A,cmd,A,V,count,bool,RPM,bool,A,deg,bool,V,state,A,bool,
47.890331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010866999999997518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.957413,0.0,0.0,359.6922645742336,0.0,0.0,0.0,,0.0,0.7693577798279309,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.0467371940612793,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0670819999999992,0.5433109934366256,0.0,,,0.0,9.311023622047227,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.6414826356049173,-0.0,,-0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,,0.021093999999997948,1.0,,0.0,6.586222382739507,,9.311023622047227,,0.0,0.0,0.0,0.6833025239831918,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
47.980662,0.0,0.0,359.62244166914854,0.0,0.0,0.0,,0.0,359.7640270530858,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.0467371940612793,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.023248999999999853,0.5433997650894918,0.0,,,0.0,9.311023622047227,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.6419399497441118,-0.0,,-0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,,0.01447199999999782,1.0,,0.0,6.586222382739507,,9.311023622047227,,0.0,0.0,0.0,0.683187534411909,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
47.997859,0.0,0.0,359.51115133008454,0.0,0.0,0.0,,0.0,359.6089227557802,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.0467371940612793,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.01719699999999591,0.5395259480977114,0.0,,,0.0,9.330708661417304,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.6425928966061389,-0.0,,-0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,,0.010842000000003793,1.0,,0.0,6.586222382739507,,9.330708661417304,,0.0,0.0,0.0,0.6862929387170393,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
48.013268,0.0,0.0,1.2109495592769812,0.0,0.0,0.0,,0.0,359.95342839698134,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.0467371940612793,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.01540899999999823,0.5429153920049853,0.0,,,0.0,9.291338582677147,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.6423796545060171,-0.0,,-0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,,0.008318000000002712,1.0,,0.0,6.586222382739507,,9.291338582677147,,0.0,0.0,0.0,0.6954259784540826,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
48.023894,0.0,0.0,0.9391623348531163,0.0,0.0,0.0,,0.0,0.44720467385331514,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.0467371940612793,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.010626000000002023,0.5389335608310838,0.0,,,0.0,9.25196850393699,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.6415577705011334,-0.0,,-0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,,0.013333000000002926,1.0,,0.0,6.586222382739507,,9.25196850393699,,0.0,0.0,0.0,0.6965320345096051,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
48.041411,0.0,0.0,1.4502090322197279,0.0,0.0,0.0,,0.0,359.81874284136006,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.0467371940612793,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.017516999999998006,0.54069193534291,0.0,,,0.0,9.232283464566912,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.6415757646403276,-0.0,,-0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,,0.02412500000000506,1.0,,0.0,6.586222382739507,,9.232283464566912,,0.0,0.0,0.0,0.6977229524448635,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
48.071144,0.0,0.0,1.075217143328221,0.0,0.0,0.0,,0.0,358.41043787767575,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.0467371940612793,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.02973300000000023,0.5352614162731212,0.0,,,0.0,9.25196850393699,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.6447469583399618,-0.0,,-0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,,0.01707200000000597,1.0,,0.0,6.586222382739507,,9.25196850393699,,0.0,0.0,0.0,0.690689863096294,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
48.097713,0.0,0.0,1.470889462348597,0.0,0.0,0.0,,0.0,0.9359593835048142,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.08846259117126465,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.026569000000002063,0.530784019320621,0.0,,,0.0,9.271653543307067,,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.6444540631018669,-0.0,,-0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,-0.0,,0.01267299999999949,1.0,,0.0,6.568924068177796,,9.271653543307067,,0.0,0.0,0.0,0.7083860676229945,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
