TIME,Operator Controller Unjam Command,Ball Counter Ball Count,IMU Filtered X Angle,Shooter Desired Speed,Right Intern Moter Current,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Hopper Motor Left Cmd,Hopper Motor Right Current,Pneumatics Compressor Current,Shots Taken,Climber Input Command,Operator Controller Shoot Command,Climber Motor 2 Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Shooter Wheel Current Control Mode,Shooter Input Mode Command,Left Master Moter Current,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Conveyor Motor Speed Command,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Hopper Motor Right Cmd,Control Panel State Machine 3.25 spin,Conveyor Intake End Ball Present,Intake Speed State,Ball Distance Sensor Raw Voltage,Operator Controller Ctrl Panel Three Rotations Command,Main Loop Call Period,IMU Comp X Angle,Shooter Motor 1 Current,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,Operator Controller Photon Cannon Command,Ball Counter Sensor Distance,Robot Brownout,botActPoseT,botActPoseX,botActPoseY,Climber Motor 1 Current,Driver Auto Align and Shoot Command,Shooter Motor 1 Percent,Drivetrain Left Motor output Duty Cycle,Intake Fault,Driver Rotate Command,Climber Upper Limit Switch,Drivetrain Pose Angle,Intake Motor Speed,Robot Battery Voltage,Drivetrain Left Wheel Actual Speed,Robot Battery Current Draw,Operator Controller Prep to Shoot Command,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,Ball Counter Ball Height State,Operator Controller Ctrl Panel Seek To Color Command,Conveyor Position,Driver Snail Mode Command,Shooter Actual Speed,RIO Input Voltage,Main Loop Process Duration,Ball Distance Sensor Available,roboRIO CPU Load,Intake Speed Command,Vision Raspberry Pi Framerate,RIO 3V Supply Voltage,Ball Distance Sensor Distance,Pneumatics Cutoff Switch State,Intake Solenoid Command,Operator Controller Shot Speed Increment,Driver Auto Align Close and Shoot Command,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,Conveyor Motor Current,Color Sensor Match Color,Color Sensor Red Intensity,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,Shooter Motor 2 Current,Operator Controller Shot Speed Decrement,Color Sensor Green Intensity,Vision Raspberry Pi Vision System Online,Robot CAN Bus Utilization,Right Master Moter Current,Climber Motor Command,PDP Cooling Fans Current,RIO 6V Supply Voltage,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,Conveyor Shooter End Ball Present,PDP Upper Board Current,Drivetrain Desired Heading,Driver Auto Align Only Command,RIO 5V Supply Voltage,Intake Position State,Hopper Motor Left Current,Driver Flip Front/Back Command,
sec,bool,count,deg,RPM,A,cmd,color,cmd,deg,cmd,A,A,balls,cmd,bool,A,ft,ft,mode,deg,A,A,psi,RPM,state,state,A,pct,sec,pct,bool,bool,cmd,degrees,bool,state,V,bool,sec,deg,A,degrees,pct,bool,in,bool,deg,ft,ft,A,bool,pct,pct,bits,cmd,state,deg,RPM,V,RPM,A,bool,pct,state,sat,RPM,bool,heightState,bool,feet,bool,RPM,V,sec,bool,pct,cmd,fps,V,in,bool,bool,bool,bool,deg,bool,A,color,sat,count,RPM,deg,bool,A,bool,sat,bool,pct,A,cmd,A,V,count,bool,RPM,bool,A,deg,bool,V,state,A,bool,
49.138814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002828999999998416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.227898,0.0,0.0,2.0696929853871224,0.0,0.0,0.0,,0.0,358.96532223113405,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.04261064529418945,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.08908399999999972,0.5426309263318895,0.0,,,0.0,9.192913385826797,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9130160290611271,-0.0,12.4,-0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,12.184123046875,0.045178999999997416,1.0,,0.0,7.697510144230681,,9.192913385826797,,0.0,0.0,0.0,0.3294032622426231,0.0,0.0,,,25.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.49804747104644775,0.0,0.0,0.0,,40.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
49.308809,0.0,0.0,358.3461930728517,0.0,0.0,0.0,,0.0,357.6961823467339,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.04261064529418945,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0809109999999933,0.5205476333364116,0.0,,,0.0,9.212598425196877,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9140669709414706,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,,0.008346000000003073,1.0,,0.0,7.697510144230681,,9.212598425196877,,0.0,0.0,0.0,0.31028217064410446,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
49.344974,0.0,0.0,0.04652285880650743,0.0,0.0,0.0,,0.0,2.8856366861574587,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.04336214065551758,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.036165000000004,0.4995976713344983,0.0,,,0.0,9.232283464566954,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9148838447876255,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,,0.011409999999997922,1.0,,0.0,6.917241549917128,,9.232283464566954,,0.0,0.0,0.0,0.3197444749426568,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
49.362934,0.0,0.0,3.065671671348374,0.0,0.0,0.0,,0.0,358.68057105433127,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.04336214065551758,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.017960000000002196,0.5152966157186653,0.0,,,0.0,9.251968503937032,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9142945873517287,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,,0.020102999999998872,1.0,,0.0,6.917241549917128,,9.251968503937032,,0.0,0.0,0.0,0.30727669820346887,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
49.384987,0.0,0.0,2.907149844004956,0.0,0.0,0.0,,0.0,358.6987376347534,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.04336214065551758,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.022052999999999656,0.5147977494112848,0.0,,,0.0,9.232283464566954,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9151631753859173,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,,0.010385999999996898,1.0,,0.0,6.917241549917128,,9.232283464566954,,0.0,0.0,0.0,0.3092301273552785,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
49.39708,0.0,0.0,1.955602849743472,0.0,0.0,0.0,,0.0,2.638209910271063,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.04336214065551758,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.012093000000000131,0.49913851103864754,0.0,,,0.0,9.232283464566954,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9159405849585672,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,,0.012301000000000784,1.0,,0.0,6.917241549917128,,9.232283464566954,,0.0,0.0,0.0,0.32383630678016345,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
49.410559,0.0,0.0,2.1975310904825083,0.0,0.0,0.0,,0.0,2.1975310904825083,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.04336214065551758,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.013478999999996688,0.5013187436252058,0.0,,,0.0,9.251968503937032,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9163693562406189,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,,0.004044000000000381,1.0,,0.0,6.917241549917128,,9.251968503937032,,0.0,0.0,0.0,0.318710125981688,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
49.415964,0.0,0.0,1.5289482009958628,0.0,0.0,0.0,,0.0,357.8018585331367,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.04336214065551758,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.005405000000003213,0.5143566744200941,0.0,,,0.0,9.251968503937032,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9156442423944653,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,,0.0059729999999973415,1.0,,0.0,6.917241549917128,,9.251968503937032,,0.0,0.0,0.0,0.3053845313899651,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
49.426887,0.0,0.0,2.347017276925521,0.0,0.0,0.0,,0.0,1.6079028069827435,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.04336214065551758,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.01092299999999824,0.49820603589667395,0.0,,,0.0,9.251968503937032,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9168472075226707,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,,0.012104999999998256,1.0,,0.0,6.917241549917128,,9.251968503937032,,0.0,0.0,0.0,0.3151677489484346,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
49.441594,0.0,0.0,2.4047341800741173,0.0,0.0,0.0,,0.0,1.5456341868104897,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.04336214065551758,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.014707000000001358,0.4976005849334722,0.0,,,0.0,9.192913385826795,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9189376988047226,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,,0.011347999999998137,1.0,,0.0,6.917241549917128,,9.192913385826795,,0.0,0.0,0.0,0.3176478124953009,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
49.456313,0.0,0.0,1.8617150718029873,0.0,0.0,0.0,,0.0,2.3939089343352684,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.04336214065551758,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.014718999999999482,0.4924532500555993,0.0,,,0.0,9.133858267716558,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9205741340183984,-0.0,12.35,-0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,12.127580810546874,0.010891999999998347,1.0,,0.0,6.917241549917128,,9.133858267716558,,0.0,0.0,0.0,0.31881198389770865,0.0,0.0,,,533.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.520126223564148,0.0,0.0,0.0,,41.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
49.46968,0.0,0.0,358.2374318221358,0.0,0.0,0.0,,0.0,1.5488678272171297,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.04336214065551758,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.013366999999995244,0.4858748580845334,0.0,,,0.0,9.133858267716558,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9198225275226721,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,,0.008606000000000336,1.0,,0.0,6.917241549917128,,9.133858267716558,,0.0,0.0,0.0,0.30706217544962383,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
