TIME,Operator Controller Unjam Command,Ball Counter Ball Count,IMU Filtered X Angle,Shooter Desired Speed,Right Intern Moter Current,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Hopper Motor Left Cmd,Hopper Motor Right Current,Pneumatics Compressor Current,Shots Taken,Climber Input Command,Operator Controller Shoot Command,Climber Motor 2 Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Shooter Wheel Current Control Mode,Shooter Input Mode Command,Left Master Moter Current,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Conveyor Motor Speed Command,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Hopper Motor Right Cmd,Control Panel State Machine 3.25 spin,Conveyor Intake End Ball Present,Intake Speed State,Ball Distance Sensor Raw Voltage,Operator Controller Ctrl Panel Three Rotations Command,Main Loop Call Period,IMU Comp X Angle,Shooter Motor 1 Current,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,Operator Controller Photon Cannon Command,Ball Counter Sensor Distance,Robot Brownout,botActPoseT,botActPoseX,botActPoseY,Climber Motor 1 Current,Driver Auto Align and Shoot Command,Shooter Motor 1 Percent,Drivetrain Left Motor output Duty Cycle,Intake Fault,Driver Rotate Command,Climber Upper Limit Switch,Drivetrain Pose Angle,Intake Motor Speed,Robot Battery Voltage,Drivetrain Left Wheel Actual Speed,Robot Battery Current Draw,Operator Controller Prep to Shoot Command,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,Ball Counter Ball Height State,Operator Controller Ctrl Panel Seek To Color Command,Conveyor Position,Driver Snail Mode Command,Shooter Actual Speed,Main Loop Process Duration,RIO Input Voltage,Ball Distance Sensor Available,roboRIO CPU Load,Intake Speed Command,Vision Raspberry Pi Framerate,RIO 3V Supply Voltage,Ball Distance Sensor Distance,Pneumatics Cutoff Switch State,Intake Solenoid Command,Operator Controller Shot Speed Increment,Driver Auto Align Close and Shoot Command,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,Conveyor Motor Current,Color Sensor Match Color,Color Sensor Red Intensity,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,Shooter Motor 2 Current,Operator Controller Shot Speed Decrement,Color Sensor Green Intensity,Vision Raspberry Pi Vision System Online,Robot CAN Bus Utilization,Right Master Moter Current,Climber Motor Command,PDP Cooling Fans Current,RIO 6V Supply Voltage,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,Conveyor Shooter End Ball Present,PDP Upper Board Current,Drivetrain Desired Heading,Driver Auto Align Only Command,RIO 5V Supply Voltage,Intake Position State,Hopper Motor Left Current,Driver Flip Front/Back Command,
sec,bool,count,deg,RPM,A,cmd,color,cmd,deg,cmd,A,A,balls,cmd,bool,A,ft,ft,mode,deg,A,A,psi,RPM,state,state,A,pct,sec,pct,bool,bool,cmd,degrees,bool,state,V,bool,sec,deg,A,degrees,pct,bool,in,bool,deg,ft,ft,A,bool,pct,pct,bits,cmd,state,deg,RPM,V,RPM,A,bool,pct,state,sat,RPM,bool,heightState,bool,feet,bool,RPM,sec,V,bool,pct,cmd,fps,V,in,bool,bool,bool,bool,deg,bool,A,color,sat,count,RPM,deg,bool,A,bool,sat,bool,pct,A,cmd,A,V,count,bool,RPM,bool,A,deg,bool,V,state,A,bool,
2789.093049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002132999999957974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789.128124,0.0,61.0,359.230977670663,0.0,0.0,0.0,,-0.0,359.85581242357165,0.0,0.0,,0.0,-0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.04706430435180664,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.03507499999977881,-1.0221323080217228,0.0,,,0.0,9.153543307086515,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.0607197058169,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,7.156049511716342E10,1.0,-0.0,0.025603999999930238,,1.0,,0.0,8.37246588577223,,9.153543307086515,,0.0,0.0,0.0,0.33923924664773314,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
2789.164338,0.0,61.0,359.2753893592169,0.0,0.0,0.0,,-0.0,0.1449184030616296,0.0,0.0,,0.0,-0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.04165792465209961,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.03621400000020003,-1.0217849533344119,0.0,,,0.0,9.23228346456683,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.06464970242257,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,7.156049511716342E10,1.0,-0.0,0.027325999999902706,,1.0,,0.0,6.534496806990813,,9.23228346456683,,0.0,0.0,0.0,0.3388452603402501,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
2789.195891,0.0,61.0,356.94990038045546,0.0,0.0,0.0,,-0.0,359.59350862319377,0.0,0.0,,0.0,-0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.04165792465209961,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.03155299999980343,-1.027713685299938,0.0,,,0.0,9.291338582677067,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.07276060482803,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,7.156049511716342E10,1.0,-0.0,0.007643000000371103,,1.0,,0.0,6.534496806990813,,9.291338582677067,,0.0,0.0,0.0,0.3378367976924079,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
2789.206044,0.0,61.0,0.9230751488087139,0.0,0.0,0.0,,-0.0,1.3627042661962359,0.0,0.0,,0.0,-0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.04165792465209961,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.010153000000173051,-1.0131813165070955,0.0,,,0.0,9.192913385826673,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.0743749969526,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,7.156049511716342E10,1.0,-0.0,0.005337000000054104,,1.0,,0.0,6.534496806990813,,9.192913385826673,,0.0,0.0,0.0,0.342451192864538,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
2789.214264,0.0,61.0,359.73519836187165,0.0,0.0,0.0,,-0.0,357.72211462525837,0.0,0.0,,0.0,-0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.04165792465209961,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.008220000000164873,-1.028627742167997,0.0,,,0.0,9.133858267716436,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.07696059988297,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,7.156049511716342E10,1.0,-0.0,0.006894999999985885,,1.0,,0.0,6.534496806990813,,9.133858267716436,,0.0,0.0,0.0,0.34001887757240756,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
2789.223831,0.0,61.0,358.519633375008,0.0,0.0,0.0,,-0.0,2.1984148487385586,0.0,0.0,,0.0,-0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.04165792465209961,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.009566999999606196,-1.0165156400430964,0.0,,,0.0,9.192913385826673,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.08072431678164,-0.0,12.200000000000001,-0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,0.0,7.156049511716342E10,1.0,-0.0,0.005367000000205735,11.97051904296875,1.0,,0.0,6.534496806990813,,9.192913385826673,,0.0,0.0,0.0,0.3466008253968627,0.0,0.0,,,268.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.5337300896644592,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
2789.233246,0.0,61.0,359.29855705690034,0.0,0.0,0.0,,-0.0,0.9820435575879568,0.0,0.0,,0.0,-0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.04165792465209961,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.00941499999998996,-1.0172405503262938,0.0,,,0.0,9.25196850393691,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.081258159712,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,7.156049511716342E10,1.0,-0.0,0.007553000000370957,,1.0,,0.0,6.534496806990813,,9.25196850393691,,0.0,0.0,0.0,0.3441053513444405,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
2789.2532,0.0,61.0,356.6417255321083,0.0,0.0,0.0,,-0.0,3.209956421538899,0.0,0.0,,0.0,-0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.04165792465209961,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.019954000000325323,-1.0194703518480925,0.0,,,0.0,9.23228346456683,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.08303895631764,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,7.156049511716342E10,1.0,-0.0,0.009958999999980733,,1.0,,0.0,6.534496806990813,,9.23228346456683,,0.0,0.0,0.0,0.353587624014999,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
2789.27358,0.0,61.0,0.04677203892432338,0.0,0.0,0.0,,-0.0,0.04677203892432338,0.0,0.0,,0.0,-0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.04165792465209961,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.020379999999931897,-1.0205136406158355,0.0,,,0.0,9.192913385826671,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.0838192713725,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,7.156049511716342E10,1.0,-0.0,0.006585999999970227,,1.0,,0.0,6.534496806990813,,9.192913385826671,,0.0,0.0,0.0,0.35608727459078715,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
2789.293449,0.0,61.0,358.4339117846532,0.0,0.0,0.0,,-0.0,1.5660881331481085,0.0,0.0,,0.0,-0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.04630589485168457,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.01986899999974412,-1.013881843059182,0.0,,,0.0,9.232283464566828,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.08332938642735,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,7.156049511716342E10,1.0,-0.0,0.013444000000163214,,1.0,,0.0,6.582026125328763,,9.232283464566828,,0.0,0.0,0.0,0.3493091656963155,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
2789.313148,0.0,61.0,358.48394190051516,0.0,0.0,0.0,,-0.0,0.6632127975461767,0.0,0.0,,0.0,-0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.04630589485168457,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0196990000004007,-1.0230353134073744,0.0,,,0.0,9.291338582677065,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.08713889193405,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,7.156049511716342E10,1.0,-0.0,0.004246999999850232,,1.0,,0.0,6.582026125328763,,9.291338582677065,,0.0,0.0,0.0,0.3561620348877543,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
2789.3331690000005,0.0,61.0,0.09555175266881717,0.0,0.0,0.0,,-0.0,358.80551703963243,0.0,0.0,,0.0,-0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.04630589485168457,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.020020999999815103,-1.0167327209583101,0.0,,85.2,0.0,9.330708661417223,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.08855432221486,-0.0,,-0.0,,0.0,78.4664216863337,1.0,,0.0,0.0,0.0,0.0,7.156049511716342E10,1.0,-0.0,0.005920000000060099,,1.0,72.9,0.0,6.582026125328763,,9.330708661417223,,0.0,0.0,0.0,0.34138934455301284,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
2789.352959,0.0,61.0,359.4218070583178,0.0,0.0,0.0,,-0.0,0.7227479748944484,0.0,0.0,,0.0,-0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.04630589485168457,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.019789999999829888,-1.016468766900973,0.0,,,0.0,9.271653543306986,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.08916228359465,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,7.156049511716342E10,1.0,-0.0,0.0036110000000917353,,1.0,,0.0,6.582026125328763,,9.271653543306986,,0.0,0.0,0.0,0.3427505203058921,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
2789.372916,0.0,61.0,358.53744437136623,0.0,0.0,0.0,,-0.0,0.9435243978846349,0.0,0.0,,0.0,-0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.04630589485168457,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.019956999999976688,-1.025636491155137,0.0,,,0.0,9.173228346456591,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.09238543387545,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,7.156049511716342E10,1.0,-0.0,0.003042000000277767,,1.0,,0.0,6.582026125328763,,9.173228346456591,,0.0,0.0,0.0,0.3502973802155809,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
2789.392845,0.0,61.0,0.38542774541715985,0.0,0.0,0.0,,-0.0,358.8918344180375,0.0,0.0,,0.0,-0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.04630589485168457,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.01992900000004738,-1.0195045173028618,0.0,,,0.0,9.271653543306986,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.09472929938227,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,7.156049511716342E10,1.0,-0.0,0.002523000000110187,,1.0,,0.0,6.582026125328763,,9.271653543306986,,0.0,0.0,0.0,0.3422719751202968,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
2789.412919,0.0,61.0,357.97355755343006,0.0,0.0,0.0,,-0.0,1.2251286500690777,0.0,0.0,,0.0,-0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.04630589485168457,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.020074000000022352,-1.0242289913949103,0.0,,,0.0,9.212598425196749,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.09779977569474,-0.0,12.15,-0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,0.0,7.156049511716342E10,1.0,-0.0,0.002488999999968655,11.976801513671875,1.0,,0.0,6.582026125328763,,9.212598425196749,,0.0,0.0,0.0,0.3537435943401957,0.0,0.0,,,25.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.5249972343444824,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
2789.433015,0.0,61.0,0.7261677988713011,0.0,0.0,0.0,,-0.0,358.4022664681239,0.0,0.0,,0.0,-0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.04630589485168457,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.02009600000019418,-1.0183469483813619,0.0,,,0.0,9.114173228346354,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.0992638907497,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,7.156049511716342E10,1.0,-0.0,0.003448999999818625,,1.0,,0.0,6.582026125328763,,9.114173228346354,,0.0,0.0,0.0,0.3462646805213348,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
2789.453162,0.0,61.0,357.4682029153552,0.0,0.0,0.0,,-0.0,1.8627423317709035,0.0,0.0,,0.0,-0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.05235147476196289,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.020146999999724358,-1.0245691441098739,0.0,,,0.0,9.251968503936906,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.1008749562563,-0.0,,-0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,7.156049511716342E10,1.0,-0.0,0.00348100000019258,,1.0,,0.0,6.488030343342594,,9.251968503936906,,0.0,0.0,0.0,0.356458378356837,0.0,0.0,,,,0.0,4.649478569149745,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
