TIME,Operator Controller Unjam Command,Ball Counter Ball Count,IMU Filtered X Angle,Shooter Desired Speed,Right Intern Moter Current,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Hopper Motor Left Cmd,Hopper Motor Right Current,Pneumatics Compressor Current,Shots Taken,Climber Input Command,Operator Controller Shoot Command,Climber Motor 2 Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Shooter Wheel Current Control Mode,Shooter Input Mode Command,Left Master Moter Current,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Conveyor Motor Speed Command,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Hopper Motor Right Cmd,Control Panel State Machine 3.25 spin,Conveyor Intake End Ball Present,Intake Speed State,Ball Distance Sensor Raw Voltage,Operator Controller Ctrl Panel Three Rotations Command,Main Loop Call Period,IMU Comp X Angle,Shooter Motor 1 Current,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,Ball Counter Sensor Distance,Robot Brownout,botActPoseT,botActPoseX,botActPoseY,Climber Motor 1 Current,Driver Auto Align and Shoot Command,Shooter Motor 1 Percent,Drivetrain Left Motor output Duty Cycle,Intake Fault,Driver Rotate Command,Climber Upper Limit Switch,Drivetrain Pose Angle,Intake Motor Speed,Robot Battery Voltage,Drivetrain Left Wheel Actual Speed,Operator Controller Prep to Shoot Command,Robot Battery Current Draw,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,Ball Counter Ball Height State,Operator Controller Ctrl Panel Seek To Color Command,Conveyor Position,Driver Snail Mode Command,Shooter Actual Speed,Main Loop Process Duration,RIO Input Voltage,Ball Distance Sensor Available,roboRIO CPU Load,Intake Speed Command,Vision Raspberry Pi Framerate,Ball Distance Sensor Distance,RIO 3V Supply Voltage,Pneumatics Cutoff Switch State,Intake Solenoid Command,Operator Controller Shot Speed Increment,Driver Auto Align Close and Shoot Command,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,Conveyor Motor Current,Color Sensor Match Color,Color Sensor Red Intensity,Drivetrain Right Wheel Desired Speed,Dataserver File Logger Queue Length,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,Shooter Motor 2 Current,Operator Controller Shot Speed Decrement,Color Sensor Green Intensity,Vision Raspberry Pi Vision System Online,Right Master Moter Current,Robot CAN Bus Utilization,Climber Motor Command,PDP Cooling Fans Current,RIO 6V Supply Voltage,Shooter Under Load,Drivetrain Right Wheel Actual Speed,Conveyor Shooter End Ball Present,Dataserver Stored Samples,PDP Upper Board Current,Drivetrain Desired Heading,Driver Auto Align Only Command,RIO 5V Supply Voltage,Intake Position State,Hopper Motor Left Current,Driver Flip Front/Back Command,
sec,bool,count,deg,RPM,A,cmd,color,cmd,deg,cmd,A,A,balls,cmd,bool,A,ft,ft,mode,deg,A,A,psi,RPM,state,state,A,pct,sec,pct,bool,bool,cmd,degrees,bool,state,V,bool,sec,deg,A,degrees,pct,in,bool,deg,ft,ft,A,bool,pct,pct,bits,cmd,state,deg,RPM,V,RPM,bool,A,pct,state,sat,RPM,bool,heightState,bool,feet,bool,RPM,sec,V,bool,pct,cmd,fps,in,V,bool,bool,bool,bool,deg,bool,A,color,sat,RPM,count,deg,bool,A,bool,sat,bool,A,pct,cmd,A,V,bool,RPM,bool,count,A,deg,bool,V,state,A,bool,
55.892549,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,3.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,
55.862941,,,,,,,,,,,,0.0,,,,,,,,,,,103.74189107142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0023199999999974352,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.900702,0.0,,,,,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,,0.04347944259643555,,0.0,0.0,,,,,,0.0,0.037761000000003264,,,,,,,,,,,0.0,,,,0.003956354194402006,,,,,,0.0,,,,,,0.0,,0.0,,1.0,,,,,,,6.488030343342594,,,,,0.0,0.0,,0.0,,,,,,0.0,0.0,,0.0,,1.0,,,,,,,,,,,,0.0,,,,0.0,
55.913941,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,3.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,
55.914085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,12.8,,,0.0,,,,,,,,,,,,12.579918701171875,,,,,,,,,,,,,,,,,13.0,,,,,,,,0.5651558041572571,,0.0,,,,,91.0,0.0,,,,,,,
55.900702,,6.0,358.70458794046095,,0.0,,,,359.9520257782617,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,,1.0,0.0,,,,-1.4768973371146246,,,,3.720472440944879,,,,,,,,0.0,0.0,,,-94.4759659783881,-0.0,,-0.0,,,,,,0.0,,2.0,,-1.9833134797311494E9,,,,,1.0,,0.0,,3.720472440944879,,,0.0,,,0.03472663378456946,,0.0,,,0.0,,,,,,,,0.0,,,,,,0.0,1.0,,,0.0,,,0.0,0.0,,
55.931312,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,3.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,
55.900702,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
55.947413,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,3.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,
55.900702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0311230000000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.954104,0.0,6.0,358.94353955757066,,0.0,0.0,,0.0,0.19207317749952582,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.04434490203857422,0.0,0.0,0.0,0.0,,1.0,0.0,,0.0,0.053401999999998395,-1.473754839134922,,,,3.720472440944879,,,,,0.0,0.0,,0.0,0.0,0.003956354194402006,0.0,-94.47771888163601,-0.0,,-0.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,-1.9833134797311494E9,1.0,,,,1.0,,0.0,6.508073988676089,3.720472440944879,,,0.0,0.0,0.0,0.035386412894609,0.0,0.0,,,0.0,,0.0,0.0,,0.0,,1.0,0.0,,0.0,,,,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,
55.958887,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,3.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,
55.954104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0049489999999963175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.962868,0.0,6.0,358.80750436666636,,0.0,0.0,,0.0,0.04769638386167377,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.04434490203857422,0.0,0.0,0.0,0.0,,1.0,0.0,,0.0,0.008763999999999328,-1.4724244416069916,,,,3.779527559055115,,,,,0.0,0.0,,0.0,0.0,0.003956354194402006,0.0,-94.47582482302793,-0.0,,-0.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,-1.9833134797311494E9,1.0,,,,1.0,,0.0,6.508073988676089,3.779527559055115,,,0.0,0.0,0.0,0.03408831521668382,0.0,0.0,,,0.0,,0.0,0.0,,0.0,,1.0,0.0,,0.0,,,,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,
55.970349,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,3.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,
55.962868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004299000000003161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.970447,0.0,6.0,358.6133154747603,,0.0,0.0,,0.0,359.85656365701436,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.04434490203857422,0.0,0.0,0.0,0.0,,1.0,0.0,,0.0,0.00757899999999978,-1.4721550586182253,,,,3.779527559055115,,,,,0.0,0.0,,0.0,0.0,0.003956354194402006,0.0,-94.47567247619033,-0.0,,-0.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,-1.9833134797311494E9,1.0,,0.005647000000003288,,1.0,,0.0,6.508073988676089,3.779527559055115,,,0.0,0.0,0.0,0.033767569991766416,0.0,0.0,,,0.0,,0.0,0.0,,0.0,,1.0,0.0,,0.0,,,,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,
55.978896,0.0,6.0,358.6098317524449,,0.0,0.0,,0.0,359.95206778213606,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.04434490203857422,0.0,0.0,0.0,0.0,,1.0,0.0,,0.0,0.008448999999998819,-1.4745709883862286,,,,3.779527559055115,,,,,0.0,0.0,,0.0,0.0,0.003956354194402006,0.0,-94.47499991876664,-0.0,,-0.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,-1.9833134797311494E9,1.0,,,,1.0,,0.0,6.508073988676089,3.779527559055115,,,0.0,0.0,0.0,0.0339576288564501,0.0,0.0,,,0.0,,0.0,0.0,,0.0,,1.0,0.0,,0.0,,,,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,
55.983116,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,3.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,
55.978896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005327000000001192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.987953,0.0,6.0,358.5607148314126,,0.0,0.0,,0.0,359.85608639450544,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.04434490203857422,0.0,0.0,0.0,0.0,,1.0,0.0,,0.0,0.009056999999998538,-1.47534363649119,,,,3.838582677165351,,,,,0.0,0.0,,0.0,0.0,0.003956354194402006,0.0,-94.47339914015856,-0.0,,-0.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,-1.9833134797311494E9,1.0,,,,1.0,,0.0,6.508073988676089,3.838582677165351,,,0.0,0.0,0.0,0.03268942057226302,0.0,0.0,,,0.0,,0.0,0.0,,0.0,,1.0,0.0,,0.0,,,,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,
55.996048,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,3.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,
55.987953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007367000000002122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.002485,0.0,6.0,358.5607183634001,,0.0,0.0,,0.0,359.80811553392965,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.04434490203857422,0.0,0.0,0.0,0.0,,1.0,0.0,,0.0,0.014532000000002654,-1.4767221556570431,,,,3.7992125984251937,,,,,0.0,0.0,,0.0,0.0,0.003956354194402006,0.0,-94.47245940885209,-0.0,,-0.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,-1.9833134797311494E9,1.0,,,,1.0,,0.0,6.508073988676089,3.7992125984251937,,,0.0,0.0,0.0,0.032033324495643396,0.0,0.0,,,0.0,,0.0,0.0,,0.0,,1.0,0.0,,0.0,,,,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,
56.00983,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,3.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,
56.002485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004438999999997861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.02251,0.0,6.0,358.8964627846117,,0.0,0.0,,0.0,359.7121372529718,0.0,0.0,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.04434490203857422,0.0,0.0,0.0,0.0,,1.0,,,0.0,0.02002499999999685,-1.4769169218061637,,,,3.720472440944879,,,,,,0.0,,0.0,,0.003956354194402006,,-94.47301957163599,,,-0.0,0.0,,,,,0.0,0.0,2.0,0.0,-1.9833134797311494E9,1.0,,,,1.0,,,6.508073988676089,3.720472440944879,,,,0.0,0.0,0.031886194505596925,0.0,0.0,,,0.0,,0.0,0.0,,0.0,,1.0,0.0,,,,,,0.0,1.0,,,0.0,0.0,,,0.0,0.0,
56.025075,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,3.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,
56.02251,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,-0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,
56.037004,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,3.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,
56.02251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0040180000000020755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
