TIME,Operator Controller Unjam Command,shooterCtrl.shooterSpeedErrorAbs,climber.motorCmd,IMU Filtered X Angle,hopper.conv.opMode,Right Intern Moter Current,climber.upperLimitSwitch.stateDbnc,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Driver Trench To Loading Align Only Command,Pneumatics Compressor Current,Operator Controller Shoot Command,Control Panel Actual Angle,intakeCtrl.posState,shooterCtrl.underLoad,climber.motor2Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Pneumatics Main System Pressure,hopper.conv.intakeEndSensor.ballsInConveyor,Drivetrain Heading Correction Command,Driver Loading To Trench Command,Left Master Moter Current,Control Panel Desired Angle,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Control Panel State Machine 3.25 spin,Operator Controller Ctrl Panel Three Rotations Command,hopper.conv.shooterEndSensorTriggeredDbnc,IMU Comp X Angle,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,hopper.conv.conveyorPosition,hopper.conv.intakeEndSensor.curBallHeight,Robot Brownout,botActPoseT,intakeCtrl.intkCommand,hopper.conv.motorCurrent,botActPoseX,botActPoseY,climber.motor1Current,hopper.hopperOpMode,Driver Auto Align and Shoot Command,Drivetrain Left Motor output Duty Cycle,Driver Rotate Command,Driver Turn 180 Deg Command,Drivetrain Pose Angle,loopTiming.loopPeriodSec,Robot Battery Voltage,shooterCtrl.shooterHoldCmdVoltage,intakeCtrl.spdState,Drivetrain Left Wheel Actual Speed,Operator Controller Prep to Shoot Command,Robot Battery Current Draw,shooterCtrl.currentStateShooter,roboRIO JVM Memory Load,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,Control Panel Motor Current,shooterCtrl.shooterActualSpeed_rpm,Operator Controller Ctrl Panel Seek To Color Command,Driver Snail Mode Command,RIO Input Voltage,roboRIO CPU Load,Match Time,Vision Raspberry Pi Framerate,RIO 3V Supply Voltage,Pneumatics Cutoff Switch State,Operator Controller Shot Speed Increment,Driver Auto Align Close and Shoot Command,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,hopper.conv.intakeEndSensorTriggered,hopper.HopperSparkLeftCmd,climber.climbEnabled,Drivetrain Right Wheel Desired Speed,Dataserver File Logger Queue Length,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,shooterCtrl.adjustedSetpointRPM,Operator Controller Shot Speed Decrement,Vision Raspberry Pi Vision System Online,climber.climbCMD,hopper.HopperSparkRightCmd,Right Master Moter Current,Robot CAN Bus Utilization,hopper.conv.intakeEndSensor.curConveyorDirection,PDP Cooling Fans Current,RIO 6V Supply Voltage,Drivetrain Right Wheel Actual Speed,Dataserver Stored Samples,PDP Upper Board Current,Drivetrain Desired Heading,Driver Auto Align Only Command,RIO 5V Supply Voltage,climber.lowerLimitSwitch.stateDbnc,hopper.conv.intakeEndSensor.ballHeightIn,Driver Flip Front/Back Command,loopTiming.loopDurationSec,
sec,bool,,,deg,,A,,cmd,color,cmd,deg,bool,A,bool,deg,,,,ft,ft,mode,deg,A,psi,,RPM,bool,A,deg,pct,sec,bool,bool,degrees,bool,,deg,degrees,pct,,,bool,deg,,,ft,ft,,,bool,pct,cmd,bool,deg,,V,,,RPM,bool,A,,pct,RPM,bool,A,,bool,bool,V,pct,s,fps,V,bool,bool,bool,deg,bool,,,bool,RPM,count,deg,bool,,bool,bool,cmd,,A,pct,,A,V,RPM,count,A,deg,bool,V,,,bool,,
366.227522,0.0,,,357.97312762479146,,0.0,,3.760749337958106E-9,-1.0,0.0,0.32988896203075707,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.10297846794128418,1.0,0.0,0.0,0.0,,-2.3931771957176795,0.0,,,,,,,,,,,,0.0,0.0,0.003049901755581804,0.0,-185.47573212209622,,,,,-0.0,0.0,,,,0.0,0.0,,,0.0,1.0,,,,5.93397271475845,,,0.0,0.0,0.015323966951317691,1.0,,,,0.0,,-5.537096244791151,0.0,,0.0,1.0,,,0.0,,,,,0.0,,,-366.6770276360106,0.0,,,,0.0,,
366.241807,,0.0,0.0,,1.0,,0.0,,,,,,,,,0.0,1.0,0.0,,,,,,,118.0,,,,,,,,,,,0.0,,,,-3.249212257902744E10,0.0,,,0.0,0.0,,,0.0,0.0,,,,,,0.04156000000000404,,7.051058733835816,0.0,,,,0.0,,,,,-0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,3200.0,,,0.0,0.0,,,1.0,,,,,,,,,0.0,9.035433070865938,,0.0033019999999623906,
366.249634,0.0,,,357.53812474640245,,0.0,,3.51820727461284E-9,-1.0,0.0,358.9382805374851,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.10297846794128418,1.0,0.0,0.0,0.0,,-2.395767804759379,0.0,,,,,,,,,,,,0.0,0.0,0.003049901757843103,0.0,-185.47651059748085,,,,,-0.0,0.0,,,,0.0,0.0,,,0.0,1.0,,,,5.93397271475845,,,0.0,0.0,0.0204577412656308,1.0,,,,0.0,,-5.537096244791151,0.0,,0.0,1.0,,,0.0,,,,,0.0,,,-366.6770276360106,0.0,,,,0.0,,
366.257623,,0.0,0.0,,1.0,,0.0,,,,,,,,,0.0,1.0,0.0,,,,,,,118.0,,,,,,,,,,,0.0,,,,-3.249212257902744E10,0.0,,,0.0,0.0,,,0.0,0.0,,,,,,0.022111999999992804,,7.051058733835816,0.0,,,,0.0,,,,,-0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,3200.0,,,0.0,0.0,,,1.0,,,,,,,,,0.0,9.035433070865938,,0.016869999999983065,
366.258215,0.0,,,358.21091430159294,,0.0,,3.291307480189363E-9,-1.0,0.0,1.7393733027048919,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.10297846794128418,1.0,0.0,0.0,0.0,,-2.4008236297510193,0.0,,,,,,,,,,,,0.0,0.0,0.0030499017598892117,0.0,-185.47649256619877,,,,,-0.0,0.0,,,,0.0,0.0,,,0.0,1.0,,,,5.93397271475845,,,0.0,0.0,0.01762857115667926,1.0,,,,0.0,,-5.537096244791151,0.0,,0.0,1.0,,,0.0,,,,,0.0,,,-366.6770276360106,0.0,,,,0.0,,
366.264107,,0.0,0.0,,1.0,,0.0,,,,,,,,,0.0,1.0,0.0,,,,,,,118.0,,,,,,,,,,,0.0,,,,-3.249212257902744E10,0.0,,,0.0,0.0,,,0.0,0.0,,,,,,0.0085809999999924,,7.051058733835816,0.0,,,,0.0,,,,,-0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,3200.0,,,0.0,0.0,,,1.0,,,,,,,,,0.0,9.01574803149586,,0.008266999999989366,
366.265937,0.0,,,357.2352046959456,,0.0,,3.079041137603962E-9,-1.0,0.0,0.33355458330675253,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.10297846794128418,1.0,0.0,0.0,0.0,,-2.3972639189773988,0.0,,,,,,,,,,,,0.0,0.0,0.003049901761740607,0.0,-185.47572431004494,,,,,-0.0,0.0,,,,0.0,0.0,,,0.0,1.0,,,,5.93397271475845,,,0.0,0.0,0.019108083611417522,1.0,,,,0.0,,-5.537096244791151,0.0,,0.0,1.0,,,0.0,,,,,0.0,,,-366.6770276360106,0.0,,,,0.0,,
366.271528,,0.0,0.0,,1.0,,0.0,,,,,,,,,0.0,1.0,0.0,,,,,,,118.0,,,,,,,,,,,0.0,,,,-3.249212257902744E10,0.0,,,0.0,0.0,,,0.0,0.0,,,,,,0.007722000000001117,,7.051058733835816,0.0,,,,0.0,,,,,-0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,3200.0,,,0.0,0.0,,,1.0,,,,,,,,,0.0,9.01574803149586,,0.006639000000006945,
366.286033,0.0,,,357.9715805003327,,0.0,,2.8804644914282052E-9,-1.0,0.0,359.2925415718047,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.10297846794128418,1.0,0.0,0.0,0.0,,-2.402313908922506,0.0,,,,,,,,,,,,0.0,0.0,0.0030499017634158187,0.0,-185.4739762520962,,,,,-0.0,0.0,,,,0.0,0.0,,,0.0,1.0,,,,5.93397271475845,,,0.0,0.0,0.016691641943639892,1.0,,,,0.0,,-5.537096244791151,0.0,,0.0,1.0,,,0.0,,,,,0.0,,,-366.6770276360106,0.0,,,,0.0,,
366.291598,,0.0,0.0,,1.0,,0.0,,,,,,,,,0.0,1.0,0.0,,,,,,,118.0,,,,,,,,,,,0.0,,,,-3.249212257902744E10,0.0,,,0.0,0.0,,,0.0,0.0,,,,,,0.020095999999966807,,7.051058733835816,0.0,,,,0.0,,,,,-0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,3200.0,,,0.0,0.0,,,1.0,,,,,,,,,0.0,9.094488188976175,,0.005857999999989261,
366.305938,0.0,,,1.230697721999508,,0.0,,2.6946946518666325E-9,,0.0,357.94855648864757,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.10297846794128418,1.0,0.0,,0.0,,-2.395612465208203,,,,,,,,,,,,,0.0,0.0,0.003049901764931613,0.0,-185.47437706850647,,,,,-0.0,0.0,,,,0.0,0.0,,,0.0,1.0,,,,5.93397271475845,,,0.0,0.0,0.009507206384998669,1.0,,,,0.0,,-5.537096244791151,0.0,,0.0,1.0,,,0.0,,,,,0.0,,,-366.6770276360106,0.0,,,,0.0,,
366.309433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,12.25,,,,,0.0,,,,,,,,,12.039626220703125,,-1.0,,,,,,,,,,,,366.0,,,,,,,,,0.40228477120399475,,0.0,,,0.0,0.0,,,,,,,,
366.305938,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366.311503,,0.0,0.0,,1.0,,0.0,,,,,,,,,0.0,1.0,0.0,,,,,,,118.0,,,,,,,,,,,0.0,,,,-3.249212257902744E10,0.0,,,0.0,0.0,,,0.0,0.0,,,,,,0.019905000000051132,,7.051058733835816,0.0,,,,0.0,,,,,-0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,3200.0,,,0.0,0.0,,,1.0,,,,,,,,,0.0,9.114173228346253,,0.00583500000004733,
366.305938,,,,,,,,,,,,,9.9375,,,,,,,,,,,55.05909285714286,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,,,,,,,69.07256479075492,,,,,,,,71.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366.326883,0.0,,,357.33520439163595,,0.0,,2.5209056693485784E-9,-1.0,0.0,2.99233264424387,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.10297846794128418,1.0,0.0,0.0,0.0,,-2.39245695002987,0.0,,,,,,,,,,,,0.0,0.0,0.0030499017663031605,0.0,-185.47595100491677,,,,,-0.0,0.0,,,,0.0,0.0,,,0.0,1.0,,,,5.93397271475845,,,0.0,0.0,0.011634797649493545,1.0,,,,0.0,,-5.537096244791151,0.0,,0.0,1.0,,,0.0,,,,,0.0,,,-366.6770276360106,0.0,,,,0.0,,
366.333857,,0.0,0.0,,1.0,,0.0,,,,,,,,,0.0,1.0,0.0,,,,,,,118.0,,,,,,,,,,,0.0,,,,-3.249212257902744E10,0.0,,,0.0,0.0,,,0.0,0.0,,,,,,0.020944999999983338,,7.051058733835816,0.0,,,,0.0,,,,,-0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,3200.0,,,0.0,0.0,,,1.0,,,,,,,,,0.0,8.99606299212578,,0.0058339999999930114,
366.348158,0.0,,,355.83907458825536,,0.0,,2.358324862281401E-9,-1.0,0.0,3.4342197853993595,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.10297846794128418,1.0,0.0,0.0,0.0,,-2.4028354419252866,0.0,,,,,,,,,,,,0.0,0.0,0.003049901767544188,0.0,-185.47356939081422,,,,,-0.0,0.0,,,,0.0,0.0,,,0.0,1.0,,,,5.93397271475845,,,0.0,0.0,0.01969671225590158,1.0,,,,0.0,,-5.537096244791151,0.0,,0.0,1.0,,,0.0,,,,,0.0,,,-366.6770276360106,0.0,,,,0.0,,
