TIME,Operator Controller Unjam Command,shooterCtrl.shooterSpeedErrorAbs,climber.motorCmd,IMU Filtered X Angle,hopper.conv.opMode,Right Intern Moter Current,climber.upperLimitSwitch.stateDbnc,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Driver Trench To Loading Align Only Command,Pneumatics Compressor Current,Operator Controller Shoot Command,Control Panel Actual Angle,intakeCtrl.posState,shooterCtrl.underLoad,climber.motor2Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Pneumatics Main System Pressure,hopper.conv.intakeEndSensor.ballsInConveyor,Drivetrain Heading Correction Command,Driver Loading To Trench Command,Left Master Moter Current,Control Panel Desired Angle,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Control Panel State Machine 3.25 spin,Operator Controller Ctrl Panel Three Rotations Command,hopper.conv.shooterEndSensorTriggeredDbnc,IMU Comp X Angle,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,hopper.conv.conveyorPosition,hopper.conv.intakeEndSensor.curBallHeight,Robot Brownout,botActPoseT,intakeCtrl.intkCommand,hopper.conv.motorCurrent,botActPoseX,botActPoseY,climber.motor1Current,hopper.hopperOpMode,Driver Auto Align and Shoot Command,Drivetrain Left Motor output Duty Cycle,Driver Rotate Command,Driver Turn 180 Deg Command,Drivetrain Pose Angle,loopTiming.loopPeriodSec,Robot Battery Voltage,shooterCtrl.shooterHoldCmdVoltage,intakeCtrl.spdState,Drivetrain Left Wheel Actual Speed,Operator Controller Prep to Shoot Command,Robot Battery Current Draw,shooterCtrl.currentStateShooter,roboRIO JVM Memory Load,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,Control Panel Motor Current,shooterCtrl.shooterActualSpeed_rpm,Operator Controller Ctrl Panel Seek To Color Command,Driver Snail Mode Command,RIO Input Voltage,roboRIO CPU Load,Match Time,Vision Raspberry Pi Framerate,RIO 3V Supply Voltage,Pneumatics Cutoff Switch State,Operator Controller Shot Speed Increment,Driver Auto Align Close and Shoot Command,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,hopper.conv.intakeEndSensorTriggered,hopper.HopperSparkLeftCmd,climber.climbEnabled,Drivetrain Right Wheel Desired Speed,Dataserver File Logger Queue Length,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,shooterCtrl.adjustedSetpointRPM,Operator Controller Shot Speed Decrement,Vision Raspberry Pi Vision System Online,climber.climbCMD,hopper.HopperSparkRightCmd,Right Master Moter Current,Robot CAN Bus Utilization,hopper.conv.intakeEndSensor.curConveyorDirection,PDP Cooling Fans Current,RIO 6V Supply Voltage,Drivetrain Right Wheel Actual Speed,Dataserver Stored Samples,PDP Upper Board Current,Drivetrain Desired Heading,Driver Auto Align Only Command,RIO 5V Supply Voltage,climber.lowerLimitSwitch.stateDbnc,hopper.conv.intakeEndSensor.ballHeightIn,Driver Flip Front/Back Command,loopTiming.loopDurationSec,
sec,bool,,,deg,,A,,cmd,color,cmd,deg,bool,A,bool,deg,,,,ft,ft,mode,deg,A,psi,,RPM,bool,A,deg,pct,sec,bool,bool,degrees,bool,,deg,degrees,pct,,,bool,deg,,,ft,ft,,,bool,pct,cmd,bool,deg,,V,,,RPM,bool,A,,pct,RPM,bool,A,,bool,bool,V,pct,s,fps,V,bool,bool,bool,deg,bool,,,bool,RPM,count,deg,bool,,bool,bool,cmd,,A,pct,,A,V,RPM,count,A,deg,bool,V,,,bool,,
245.978259,0.0,,,359.9423699723397,,0.0,,0.0,-1.0,-0.0,1.152676467853965,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.04737520217895508,0.0,0.0,0.0,0.0,,-0.9480895596866826,0.0,,,,,,,,,,,,0.0,0.0,0.001953125,0.0,882.7916444951845,,,,,-0.0,0.0,,,,0.0,0.0,,,0.0,1.0,,,,6.575009875908427,,,0.0,0.0,0.3923016212632369,0.0,,,,0.0,,0.0,1.0,,0.0,1.0,,,0.0,,,,,0.0,,,63.73545633592511,0.0,,,,0.0,,
246.006381,,0.0,0.0,,1.0,,0.0,,,,,,,,,1.0,1.0,0.0,,,,,,,9.0,,,,,,,,,,,0.0,,,,-1.3577760376265957E10,0.0,,,1.0,0.0,,,0.0,1.0,,,,,,0.07168500000000222,,7.103991083800793,1.0,,,,0.0,,,,,-0.0,,,,,,,,,,,,,0.0,0.25,0.0,,,,,3200.0,,,-0.0,0.25,,,1.0,,,,,,,,,1.0,9.212598425196838,,0.0029580000000066775,
245.978259,,,,,,,,,,,,,13.03125,,,,,,,,,,,77.05552678571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246.038981,0.0,,,354.87964226150194,,0.0,,0.0,-1.0,-0.0,8.999407529815294,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.048535823822021484,0.0,0.0,0.0,0.0,,-0.9727938707292886,0.0,,,,,,,,,,,,0.0,0.0,0.001953125,0.0,882.8046337952333,,,,,-0.0,0.0,,,,0.0,0.0,,,0.0,1.0,,,,6.530112003387814,,,0.0,0.0,0.38730468984743427,0.0,,,,0.0,,0.0,0.0,,0.0,1.0,,,0.0,,,,,0.0,,,63.73545633592511,0.0,,,,0.0,,
246.043397,,0.0,0.0,,1.0,,0.0,,,,,,,,,0.0,1.0,0.0,,,,,,,9.0,,,,,,,,,,,0.0,,,,-1.3577760376265957E10,0.0,,,0.0,0.0,,,0.0,1.0,,,,,,0.06072199999999839,,7.103991083800793,0.0,,,,0.0,,,,,-0.0,,,,,,,,,,,,,0.0,0.25,0.0,,,,,3200.0,,,-0.0,0.25,,,1.0,,,,,,,,,1.0,9.251968503936997,,0.029193999999989728,
246.044734,0.0,,,352.17069170663774,,0.0,,0.0,-1.0,-0.0,16.402775692420914,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.048535823822021484,0.0,0.0,0.0,0.0,,-0.9691860219412471,0.0,,,,,,,,,,,,0.0,0.0,0.001953125,0.0,882.8068168060756,,,,,-0.0,0.0,,,,0.0,0.0,,,0.0,1.0,,,,6.530112003387814,,,0.0,0.0,0.3860362285861284,0.0,,,,0.0,,0.0,0.0,,0.0,1.0,,,0.0,,,,,0.0,,,63.73545633592511,0.0,,,,0.0,,
246.051606,,0.0,0.0,,1.0,,0.0,,,,,,,,,0.0,1.0,0.0,,,,,,,9.0,,,,,,,,,,,0.0,,,,-1.3577760376265957E10,0.0,,,0.0,0.0,,,0.0,1.0,,,,,,0.005752999999998565,,7.103991083800793,0.0,,,,0.0,,,,,-0.0,,,,,,,,,,,,,0.0,0.25,0.0,,,,,3200.0,,,-0.0,0.25,,,1.0,,,,,,,,,1.0,9.21259842519684,,0.005123999999995021,
246.052999,0.0,,,342.8070473142867,,0.0,,0.0,-1.0,-0.0,351.8243364266256,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.048535823822021484,0.0,0.0,0.0,0.0,,-0.9806448506563901,0.0,,,,,,,,,,,,0.0,0.0,0.001953125,0.0,882.8060202238901,,,,,-0.0,0.0,,,,0.0,0.0,,,0.0,1.0,,,,6.530112003387814,,,0.0,0.0,0.40432470685356353,0.0,,,,0.0,,0.0,0.0,,0.0,1.0,,,0.0,,,,,0.0,,,63.73545633592511,0.0,,,,0.0,,
246.057314,,0.0,0.0,,1.0,,0.0,,,,,,,,,0.0,1.0,0.0,,,,,,,9.0,,,,,,,,,,,0.0,,,,-1.3577760376265957E10,0.0,,,0.0,0.0,,,0.0,1.0,,,,,,0.008264999999994416,,7.103991083800793,0.0,,,,0.0,,,,,-0.0,,,,,,,,,,,,,0.0,0.25,0.0,,,,,3200.0,,,-0.0,0.25,,,1.0,,,,,,,,,1.0,9.133858267716523,,0.007654999999999745,
